age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
2.0,Private,144811.0,Assoc-acdm,12.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
1.0,Private,179423.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
3.0,Self-emp-inc,121124.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,4.0,0.0,2.0,United-States,>50K
3.0,Private,67544.0,HS-grad,9.0,Divorced,Transport-moving,Unmarried,White,Male,0.0,0.0,2.0,United-States,<=50K
4.0,Private,164526.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
3.0,Local-gov,257588.0,Masters,14.0,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,2.0,United-States,<=50K
4.0,State-gov,213821.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
3.0,Private,27444.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
3.0,Private,164574.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
1.0,Private,27408.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
3.0,Private,261688.0,5th-6th,3.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,2.0,Mexico,<=50K
2.0,Private,154548.0,Some-college,10.0,Divorced,Exec-managerial,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
1.0,Private,104045.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
3.0,Private,181677.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
2.0,Private,207783.0,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,3.0,United-States,<=50K
0.0,Private,216563.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,0.0,United-States,<=50K
3.0,Private,138940.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
2.0,Private,214838.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
4.0,Private,287927.0,Some-college,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
2.0,Private,117028.0,HS-grad,9.0,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,2.0,United-States,<=50K
0.0,None,96844.0,HS-grad,9.0,Divorced,None,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
1.0,Private,154587.0,HS-grad,9.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,1.0,United-States,<=50K
2.0,Private,225165.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,3.0,United-States,<=50K
3.0,Private,148532.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
2.0,Private,186819.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
1.0,Private,247025.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,3.0,United-States,>50K
0.0,Private,175943.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
0.0,Private,175431.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
2.0,Private,162551.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,4.0,United-States,<=50K
2.0,Local-gov,233511.0,Assoc-voc,11.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
1.0,Private,103323.0,HS-grad,9.0,Separated,Craft-repair,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
2.0,Private,148429.0,HS-grad,9.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
3.0,Private,83893.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
1.0,Private,206927.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
0.0,Private,210781.0,Bachelors,13.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,0.0,United-States,<=50K
0.0,Private,293091.0,HS-grad,9.0,Separated,Craft-repair,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
1.0,Private,181659.0,Some-college,10.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
1.0,Private,149419.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
3.0,Private,355954.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
1.0,Private,224566.0,Assoc-acdm,12.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
0.0,Private,208946.0,11th,7.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,1.0,United-States,<=50K
0.0,Private,117583.0,9th,5.0,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0.0,0.0,1.0,United-States,<=50K
3.0,Self-emp-inc,276087.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,3.0,United-States,<=50K
4.0,Private,143604.0,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
0.0,Private,93955.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
1.0,Private,183892.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
