,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
7762,0,Private,423024,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,0,United-States,<=50K
23881,0,Private,178953,12th,8,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,<=50K
30507,0,Local-gov,348986,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,2,United-States,<=50K
28911,0,Private,218215,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,1,United-States,<=50K
19484,3,Private,244025,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0,0,3,Puerto-Rico,<=50K
43031,1,Private,399531,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,<=50K
28188,2,Private,200220,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
12761,0,Private,329530,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,Mexico,<=50K
40834,2,Private,282155,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Female,2,0,2,United-States,<=50K
27875,3,Private,202220,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,1,0,1,United-States,<=50K
1276,3,Private,129007,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,3,2,United-States,>50K
22608,1,Private,261799,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,2,United-States,>50K
36230,2,,246862,Bachelors,13,Widowed,,Not-in-family,White,Female,0,0,0,United-States,<=50K
13398,3,Private,173754,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
43536,1,Private,176727,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
18627,4,Private,24515,9th,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,<=50K
38424,4,Private,158776,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
35505,2,Federal-gov,90737,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2,2,United-States,>50K
2372,4,,340939,9th,5,Married-civ-spouse,,Husband,White,Male,1,0,2,United-States,<=50K
3375,0,Private,305874,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
28331,1,Private,74501,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,1,United-States,<=50K
46820,2,Private,295706,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,4,United-States,>50K
147,2,Private,108293,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,1,United-States,<=50K
21063,4,State-gov,111795,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
20139,1,Local-gov,250585,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,<=50K
23288,3,Local-gov,159028,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
18957,1,Private,179758,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,0,United-States,<=50K
31256,3,Self-emp-not-inc,34973,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2,3,United-States,>50K
29642,2,Self-emp-inc,204196,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,3,United-States,>50K
23638,3,Private,47247,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,<=50K
18067,1,Private,150080,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,2,United-States,<=50K
879,0,Private,376540,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,<=50K
7155,3,Private,99736,Masters,14,Divorced,Prof-specialty,Unmarried,White,Male,4,0,3,United-States,>50K
43769,1,Private,166301,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,2,United-States,<=50K
17697,3,Private,321770,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
21167,2,Private,106698,Assoc-acdm,12,Divorced,Transport-moving,Unmarried,White,Female,0,0,2,United-States,<=50K
3136,2,Self-emp-not-inc,32172,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,3,United-States,<=50K
34254,0,Private,243410,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,2,United-States,<=50K
17657,2,Private,224947,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Male,0,0,2,United-States,<=50K
37254,3,Self-emp-not-inc,34845,Assoc-voc,11,Divorced,Transport-moving,Not-in-family,White,Male,0,0,3,United-States,<=50K
1422,2,Private,202872,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,2,United-States,<=50K
32507,3,Private,302372,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
30150,0,Private,210781,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,1,United-States,<=50K
14172,2,Private,58108,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
32273,0,Private,206008,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,Black,Male,0,0,0,United-States,<=50K
48262,0,Private,164177,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
10007,1,State-gov,553473,Bachelors,13,Married-civ-spouse,Protective-serv,Wife,Black,Female,0,0,3,United-States,<=50K
47649,4,Private,197613,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,>50K
43058,3,Private,38973,10th,6,Widowed,Sales,Unmarried,Black,Female,0,0,2,United-States,<=50K
708,4,Private,177665,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K
26338,1,Private,337664,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
8406,4,Local-gov,125768,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,<=50K
43953,0,Private,323054,HS-grad,9,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,1,United-States,<=50K
39987,3,Private,148995,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
20882,3,Private,256916,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,<=50K
45442,1,Private,225768,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
5187,4,Private,114447,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,1,United-States,<=50K
37557,1,Federal-gov,191480,Bachelors,13,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,0,0,2,United-States,<=50K
2868,0,Self-emp-not-inc,210278,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,1,United-States,<=50K
33381,1,Local-gov,194515,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,Black,Female,0,0,2,United-States,<=50K
3030,4,Private,175273,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,2,United-States,<=50K
6202,2,Private,181705,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
