,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.125,0.125,0.125,0.0,0.125,0.0,1,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0028703902545720926,0.0028703902545720926,0.0028703902545720926,0.0,0.0028703902545720926,0.0,1,0,0.0,minimize
sanity.close_values_probability.score,0.999,0.999,0.999,0.0,0.999,0.0,1,0,0.0,maximize
sanity.distant_values_probability.score,0.001,0.001,0.001,0.0,0.001,0.0,1,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.021398663865404295,0.021398663865404295,0.021398663865404295,0.0,0.021398663865404295,0.0,1,0,0.0,minimize
stats.chi_squared_test.marginal,0.7956619576636157,0.7956619576636157,0.7956619576636157,0.0,0.7956619576636157,0.0,1,0,0.0,maximize
stats.inv_kl_divergence.marginal,0.8381935469561407,0.8381935469561407,0.8381935469561407,0.0,0.8381935469561407,0.0,1,0,0.0,maximize
stats.ks_test.marginal,0.8465333333333334,0.8465333333333334,0.8465333333333334,0.0,0.8465333333333334,0.0,1,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.0020000105866586474,0.0020000105866586474,0.0020000105866586474,0.0,0.0020000105866586474,0.0,1,0,0.0,minimize
stats.wasserstein_dist.joint,0.240758484042092,0.240758484042092,0.240758484042092,0.0,0.240758484042092,0.0,1,0,0.0,minimize
stats.prdc.precision,0.999,0.999,0.999,0.0,0.999,0.0,1,0,0.0,maximize
stats.prdc.recall,0.996,0.996,0.996,0.0,0.996,0.0,1,0,0.0,maximize
stats.prdc.density,1.0012,1.0012,1.0012,0.0,1.0012,0.0,1,0,0.0,maximize
stats.prdc.coverage,0.928,0.928,0.928,0.0,0.928,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,maximize
stats.alpha_precision.authenticity_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.7128,0.7128,0.7128,0.0,0.7128,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.03599999999999992,0.03599999999999992,0.03599999999999992,0.0,0.03599999999999992,0.0,1,0,0.0,maximize
stats.alpha_precision.authenticity_naive,0.93,0.93,0.93,0.0,0.93,0.0,1,0,0.0,maximize
performance.linear_model.gt,0.8090559827126992,0.8090559827126992,0.8090559827126992,0.0,0.8090559827126992,0.0,1,0,0.0,maximize
performance.linear_model.syn_id,0.7973009950248756,0.7973009950248756,0.7973009950248756,0.0,0.7973009950248756,0.0,1,0,0.0,maximize
performance.linear_model.syn_ood,0.7910666666666666,0.7910666666666666,0.7910666666666666,0.0,0.7910666666666666,0.0,1,0,0.0,maximize
performance.mlp.gt,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.xgb.gt,0.8836107342077492,0.8836107342077492,0.8836107342077492,0.0,0.8836107342077492,0.0,1,0,0.0,maximize
performance.xgb.syn_id,0.8460480426152067,0.8460480426152067,0.8460480426152067,0.0,0.8460480426152067,0.0,1,0,0.0,maximize
performance.xgb.syn_ood,0.8266666666666665,0.8266666666666665,0.8266666666666665,0.0,0.8266666666666665,0.0,1,0,0.0,maximize
performance.linear_model_augmentation.gt,0.8090559827126992,0.8090559827126992,0.8090559827126992,0.0,0.8090559827126992,0.0,1,0,0.0,maximize
performance.linear_model_augmentation.aug_ood,0.7910666666666666,0.7910666666666666,0.7910666666666666,0.0,0.7910666666666666,0.0,1,0,0.0,maximize
performance.mlp_augmentation.gt,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp_augmentation.aug_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.xgb_augmentation.gt,0.8836107342077492,0.8836107342077492,0.8836107342077492,0.0,0.8836107342077492,0.0,1,0,0.0,maximize
