metrics,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.125,0.125,0.125,0.0,0.125,0.0,1,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.019601266896566733,0.019601266896566733,0.019601266896566733,0.0,0.019601266896566733,0.0,1,0,0.0,minimize
sanity.close_values_probability.score,0.987,0.987,0.987,0.0,0.987,0.0,1,0,0.0,maximize
sanity.distant_values_probability.score,0.002,0.002,0.002,0.0,0.002,0.0,1,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.03300198590220447,0.03300198590220447,0.03300198590220447,0.0,0.03300198590220447,0.0,1,0,0.0,minimize
stats.chi_squared_test.marginal,0.6546668142555693,0.6546668142555693,0.6546668142555693,0.0,0.6546668142555693,0.0,1,0,0.0,maximize
stats.inv_kl_divergence.marginal,0.7399270979750371,0.7399270979750371,0.7399270979750371,0.0,0.7399270979750371,0.0,1,0,0.0,maximize
stats.ks_test.marginal,0.7828666666666667,0.7828666666666667,0.7828666666666667,0.0,0.7828666666666667,0.0,1,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.002001541334822148,0.002001541334822148,0.002001541334822148,0.0,0.002001541334822148,0.0,1,0,0.0,minimize
stats.wasserstein_dist.joint,0.3504412134459941,0.3504412134459941,0.3504412134459941,0.0,0.3504412134459941,0.0,1,0,0.0,minimize
stats.prdc.precision,0.999,0.999,0.999,0.0,0.999,0.0,1,0,0.0,maximize
stats.prdc.recall,0.997,0.997,0.997,0.0,0.997,0.0,1,0,0.0,maximize
stats.prdc.density,1.0022,1.0022,1.0022,0.0,1.0022,0.0,1,0,0.0,maximize
stats.prdc.coverage,0.915,0.915,0.915,0.0,0.915,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.9216827586206897,0.9216827586206897,0.9216827586206897,0.0,0.9216827586206897,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.12493333333333312,0.12493333333333312,0.12493333333333312,0.0,0.12493333333333312,0.0,1,0,0.0,maximize
stats.alpha_precision.authenticity_OC,0.79,0.79,0.79,0.0,0.79,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.6802022988505747,0.6802022988505747,0.6802022988505747,0.0,0.6802022988505747,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.02973333333333328,0.02973333333333328,0.02973333333333328,0.0,0.02973333333333328,0.0,1,0,0.0,maximize
stats.alpha_precision.authenticity_naive,0.955,0.955,0.955,0.0,0.955,0.0,1,0,0.0,maximize
performance.linear_model.gt,0.7940494244068185,0.7940494244068185,0.7940494244068185,0.0,0.7940494244068185,0.0,1,0,0.0,maximize
performance.linear_model.syn_id,0.7588439149716762,0.7588439149716762,0.7588439149716762,0.0,0.7588439149716762,0.0,1,0,0.0,maximize
performance.linear_model.syn_ood,0.791111111111111,0.791111111111111,0.791111111111111,0.0,0.791111111111111,0.0,1,0,0.0,maximize
performance.mlp.gt,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.xgb.gt,0.8723954343396443,0.8723954343396443,0.8723954343396443,0.0,0.8723954343396443,0.0,1,0,0.0,maximize
performance.xgb.syn_id,0.8639511644752956,0.8639511644752956,0.8639511644752956,0.0,0.8639511644752956,0.0,1,0,0.0,maximize
performance.xgb.syn_ood,0.8592114695340501,0.8592114695340501,0.8592114695340501,0.0,0.8592114695340501,0.0,1,0,0.0,maximize
performance.linear_model_augmentation.gt,0.7940494244068185,0.7940494244068185,0.7940494244068185,0.0,0.7940494244068185,0.0,1,0,0.0,maximize
performance.linear_model_augmentation.aug_ood,0.791111111111111,0.791111111111111,0.791111111111111,0.0,0.791111111111111,0.0,1,0,0.0,maximize
performance.mlp_augmentation.gt,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp_augmentation.aug_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.xgb_augmentation.gt,0.8723954343396443,0.8723954343396443,0.8723954343396443,0.0,0.8723954343396443,0.0,1,0,0.0,maximize
