,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
sanity.common_rows_proportion.score,0.9982999999995008,0.9982999999995008,0.9982999999995008,0.0,0.9982999999995008,0.0,1,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.06,minimize
sanity.close_values_probability.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.06,maximize
sanity.distant_values_probability.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.04,minimize
stats.jensenshannon_dist.marginal,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.06,minimize
stats.chi_squared_test.marginal,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.02,maximize
stats.inv_kl_divergence.marginal,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize
stats.ks_test.marginal,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.06,maximize
stats.max_mean_discrepancy.joint,0.0,0.0,0.0,0.0,0.0,0.0,1,0,10.54,minimize
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,1,0,16.59,maximize
stats.prdc.recall,1.0,1.0,1.0,0.0,1.0,0.0,1,0,16.59,maximize
stats.prdc.density,0.9986900000000001,0.9986900000000001,0.9986900000000001,0.0,0.9986900000000001,0.0,1,0,16.59,maximize
stats.prdc.coverage,1.0,1.0,1.0,0.0,1.0,0.0,1,0,16.59,maximize
performance.linear_model.gt,0.8012528014231822,0.8012528014231822,0.8012528014231822,0.0,0.8012528014231822,0.0,1,0,1.35,maximize
performance.linear_model.syn_id,0.8010626505662234,0.8010626505662234,0.8010626505662234,0.0,0.8010626505662234,0.0,1,0,1.35,maximize
performance.linear_model.syn_ood,0.7996509270141509,0.7996509270141509,0.7996509270141509,0.0,0.7996509270141509,0.0,1,0,1.35,maximize
performance.mlp.gt,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.18,maximize
performance.mlp.syn_id,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.18,maximize
performance.mlp.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.18,maximize
performance.xgb.gt,0.9035363543953366,0.9035363543953366,0.9035363543953366,0.0,0.9035363543953366,0.0,1,0,5.7,maximize
performance.xgb.syn_id,0.9616502551353628,0.9616502551353628,0.9616502551353628,0.0,0.9616502551353628,0.0,1,0,5.7,maximize
performance.xgb.syn_ood,0.9576071350272818,0.9576071350272818,0.9576071350272818,0.0,0.9576071350272818,0.0,1,0,5.7,maximize
performance.linear_model_augmentation.gt,0.8012528014231822,0.8012528014231822,0.8012528014231822,0.0,0.8012528014231822,0.0,1,0,1.44,maximize
performance.linear_model_augmentation.aug_ood,0.7996509270141509,0.7996509270141509,0.7996509270141509,0.0,0.7996509270141509,0.0,1,0,1.44,maximize
performance.mlp_augmentation.gt,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.19,maximize
performance.mlp_augmentation.aug_ood,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.19,maximize
performance.xgb_augmentation.gt,0.9035363543953366,0.9035363543953366,0.9035363543953366,0.0,0.9035363543953366,0.0,1,0,5.4,maximize
performance.xgb_augmentation.aug_ood,0.9576071350272818,0.9576071350272818,0.9576071350272818,0.0,0.9576071350272818,0.0,1,0,5.4,maximize
performance.feat_rank_distance.corr,0.7834483955473375,0.7834483955473375,0.7834483955473375,0.0,0.7834483955473375,0.0,1,0,2.32,minimize
performance.feat_rank_distance.pvalue,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.32,minimize
detection.detection_xgb.mean,0.2199908517408614,0.2199908517408614,0.2199908517408614,0.0,0.2199908517408614,0.0,1,0,3.12,minimize
detection.detection_gmm.mean,0.5003438733621416,0.5003438733621416,0.5003438733621416,0.0,0.5003438733621416,0.0,1,0,52.44,minimize
detection.detection_linear.mean,0.48849904029630237,0.48849904029630237,0.48849904029630237,0.0,0.48849904029630237,0.0,1,0,2.34,minimize
privacy.delta-presence.score,0.9999999999993261,0.9999999999993261,0.9999999999993261,0.0,0.9999999999993261,0.0,1,0,1.85,maximize
privacy.k-anonymization.gt,8.0,8.0,8.0,0.0,8.0,0.0,1,0,1.27,maximize
privacy.k-anonymization.syn,8.00000001,8.00000001,8.00000001,0.0,8.00000001,0.0,1,0,1.27,maximize
privacy.k-map.score,8.0,8.0,8.0,0.0,8.0,0.0,1,0,0.38,maximize
privacy.distinct l-diversity.gt,8.0,8.0,8.0,0.0,8.0,0.0,1,0,0.73,maximize
privacy.distinct l-diversity.syn,8.00000001,8.00000001,8.00000001,0.0,8.00000001,0.0,1,0,0.73,maximize
