,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
sanity.common_rows_proportion.score,0.9986999999990012,0.9986999999990012,0.9986999999990012,0.0,0.9986999999990012,0.0,1,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.02,minimize
sanity.close_values_probability.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.02,maximize
sanity.distant_values_probability.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.02,minimize
stats.jensenshannon_dist.marginal,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.03,minimize
stats.chi_squared_test.marginal,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize
stats.inv_kl_divergence.marginal,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize
stats.ks_test.marginal,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.03,maximize
stats.max_mean_discrepancy.joint,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.27,minimize
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,1,0,3.3,maximize
stats.prdc.recall,1.0,1.0,1.0,0.0,1.0,0.0,1,0,3.3,maximize
stats.prdc.density,0.9992000000000001,0.9992000000000001,0.9992000000000001,0.0,0.9992000000000001,0.0,1,0,3.3,maximize
stats.prdc.coverage,1.0,1.0,1.0,0.0,1.0,0.0,1,0,3.3,maximize
performance.linear_model.gt,0.8034471803693582,0.8034471803693582,0.8034471803693582,0.0,0.8034471803693582,0.0,1,0,0.77,maximize
performance.linear_model.syn_id,0.8009865573982262,0.8009865573982262,0.8009865573982262,0.0,0.8009865573982262,0.0,1,0,0.77,maximize
performance.linear_model.syn_ood,0.800001640070195,0.800001640070195,0.800001640070195,0.0,0.800001640070195,0.0,1,0,0.77,maximize
performance.mlp.gt,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.1,maximize
performance.mlp.syn_id,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.1,maximize
performance.mlp.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.1,maximize
performance.xgb.gt,0.8917317006262487,0.8917317006262487,0.8917317006262487,0.0,0.8917317006262487,0.0,1,0,2.98,maximize
performance.xgb.syn_id,0.9742761619952933,0.9742761619952933,0.9742761619952933,0.0,0.9742761619952933,0.0,1,0,2.98,maximize
performance.xgb.syn_ood,0.971553665830231,0.971553665830231,0.971553665830231,0.0,0.971553665830231,0.0,1,0,2.98,maximize
performance.linear_model_augmentation.gt,0.8034471803693582,0.8034471803693582,0.8034471803693582,0.0,0.8034471803693582,0.0,1,0,1.42,maximize
performance.linear_model_augmentation.aug_ood,0.800001640070195,0.800001640070195,0.800001640070195,0.0,0.800001640070195,0.0,1,0,1.42,maximize
performance.mlp_augmentation.gt,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.11,maximize
performance.mlp_augmentation.aug_ood,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.11,maximize
performance.xgb_augmentation.gt,0.8917317006262487,0.8917317006262487,0.8917317006262487,0.0,0.8917317006262487,0.0,1,0,2.8,maximize
performance.xgb_augmentation.aug_ood,0.971553665830231,0.971553665830231,0.971553665830231,0.0,0.971553665830231,0.0,1,0,2.8,maximize
performance.feat_rank_distance.corr,0.7338006844936511,0.7338006844936511,0.7338006844936511,0.0,0.7338006844936511,0.0,1,0,1.11,minimize
performance.feat_rank_distance.pvalue,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.11,minimize
detection.detection_xgb.mean,0.1738791131450256,0.1738791131450256,0.1738791131450256,0.0,0.1738791131450256,0.0,1,0,1.39,minimize
detection.detection_gmm.mean,0.5032231982216895,0.5032231982216895,0.5032231982216895,0.0,0.5032231982216895,0.0,1,0,33.13,minimize
detection.detection_linear.mean,0.48579847741998267,0.48579847741998267,0.48579847741998267,0.0,0.48579847741998267,0.0,1,0,1.72,minimize
privacy.delta-presence.score,0.9999999999986535,0.9999999999986535,0.9999999999986535,0.0,0.9999999999986535,0.0,1,0,0.48,maximize
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0,4.0,0.0,1,0,1.57,maximize
privacy.k-anonymization.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,1.57,maximize
privacy.k-map.score,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.39,maximize
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.96,maximize
privacy.distinct l-diversity.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,0.96,maximize
