metrics,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
sanity.common_rows_proportion.score,0.99999999999,0.99999999999,0.99999999999,0.0,0.99999999999,0.0,1,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
sanity.close_values_probability.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
sanity.distant_values_probability.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
stats.chi_squared_test.marginal,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
stats.inv_kl_divergence.marginal,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
stats.ks_test.marginal,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
stats.wasserstein_dist.joint,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
stats.prdc.recall,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
stats.prdc.density,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
stats.prdc.coverage,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.9993356321839081,0.9993356321839081,0.9993356321839081,0.0,0.9993356321839081,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.9993356321839081,0.9993356321839081,0.9993356321839081,0.0,0.9993356321839081,0.0,1,0,0.0,maximize
stats.alpha_precision.authenticity_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9993356321839081,0.9993356321839081,0.9993356321839081,0.0,0.9993356321839081,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.9993356321839081,0.9993356321839081,0.9993356321839081,0.0,0.9993356321839081,0.0,1,0,0.0,maximize
stats.alpha_precision.authenticity_naive,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,maximize
performance.linear_model.gt,0.7940494244068185,0.7940494244068185,0.7940494244068185,0.0,0.7940494244068185,0.0,1,0,0.0,maximize
performance.linear_model.syn_id,0.8046236365815654,0.8046236365815654,0.8046236365815654,0.0,0.8046236365815654,0.0,1,0,0.0,maximize
performance.linear_model.syn_ood,0.7992831541218638,0.7992831541218638,0.7992831541218638,0.0,0.7992831541218638,0.0,1,0,0.0,maximize
performance.mlp.gt,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.xgb.gt,0.8723954343396443,0.8723954343396443,0.8723954343396443,0.0,0.8723954343396443,0.0,1,0,0.0,maximize
performance.xgb.syn_id,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
performance.xgb.syn_ood,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
performance.linear_model_augmentation.gt,0.7940494244068185,0.7940494244068185,0.7940494244068185,0.0,0.7940494244068185,0.0,1,0,0.0,maximize
performance.linear_model_augmentation.aug_ood,0.7992831541218638,0.7992831541218638,0.7992831541218638,0.0,0.7992831541218638,0.0,1,0,0.0,maximize
performance.mlp_augmentation.gt,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp_augmentation.aug_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.xgb_augmentation.gt,0.8723954343396443,0.8723954343396443,0.8723954343396443,0.0,0.8723954343396443,0.0,1,0,0.0,maximize
performance.xgb_augmentation.aug_ood,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
performance.feat_rank_distance.corr,0.50643216080402,0.50643216080402,0.50643216080402,0.0,0.50643216080402,0.0,1,0,0.0,minimize
performance.feat_rank_distance.pvalue,1.74735149484157e-26,1.74735149484157e-26,1.74735149484157e-26,0.0,1.74735149484157e-26,0.0,1,0,0.0,minimize
detection.detection_xgb.mean,0.08242417760768446,0.08242417760768446,0.08242417760768446,0.0,0.08242417760768446,0.0,1,0,0.0,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,minimize
detection.detection_gmm.mean,0.5054365742988497,0.5054365742988497,0.5054365742988497,0.0,0.5054365742988497,0.0,1,0,0.0,minimize
detection.detection_linear.mean,0.41411650002126704,0.41411650002126704,0.41411650002126704,0.0,0.41411650002126704,0.0,1,0,0.0,minimize
privacy.delta-presence.score,0.9999999999868248,0.9999999999868248,0.9999999999868248,0.0,0.9999999999868248,0.0,1,0,0.0,maximize
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.0,maximize
privacy.k-anonymization.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,0.0,maximize
privacy.k-map.score,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.0,maximize
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.0,maximize
privacy.distinct l-diversity.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,0.0,maximize
privacy.identifiability_score.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,minimize
privacy.identifiability_score.score_OC,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,minimize
