,Column,Metric,Score
0,age,KSComplement,0.9322234961713279
1,workclass,TVComplement,0.8461286641472826
2,fnlwgt,KSComplement,0.8697489865279882
3,education,TVComplement,0.8458826419884525
4,education-num,KSComplement,0.9170812006060358
5,marital-status,TVComplement,0.8853224683673887
6,occupation,TVComplement,0.8088746569490003
7,relationship,TVComplement,0.9012956062405306
8,race,TVComplement,0.895042791040498
9,sex,TVComplement,0.9384820441423365
10,capitalgain,KSComplement,0.9373866754023177
11,capitalloss,KSComplement,0.9532779165472339
12,hoursperweek,KSComplement,0.9384607509929979
13,native-country,TVComplement,0.9234521204543087
14,class,TVComplement,0.9892817656934605
