,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.125,0.125,0.125,0.0,0.125,0.0,1,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0008733256322009368,0.0008733256322009368,0.0008733256322009368,0.0,0.0008733256322009368,0.0,1,0,0.02,minimize
sanity.close_values_probability.score,0.9991,0.9991,0.9991,0.0,0.9991,0.0,1,0,0.02,maximize
sanity.distant_values_probability.score,0.0001,0.0001,0.0001,0.0,0.0001,0.0,1,0,0.02,minimize
stats.jensenshannon_dist.marginal,0.02378526496749426,0.02378526496749426,0.02378526496749426,0.0,0.02378526496749426,0.0,1,0,0.0,minimize
stats.chi_squared_test.marginal,0.7913080004792261,0.7913080004792261,0.7913080004792261,0.0,0.7913080004792261,0.0,1,0,0.0,maximize
stats.inv_kl_divergence.marginal,0.8378509590828246,0.8378509590828246,0.8378509590828246,0.0,0.8378509590828246,0.0,1,0,0.0,maximize
stats.ks_test.marginal,0.8198133333333334,0.8198133333333334,0.8198133333333334,0.0,0.8198133333333334,0.0,1,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.00020464074692535449,0.00020464074692535449,0.00020464074692535449,0.0,0.00020464074692535449,0.0,1,0,0.0,minimize
stats.prdc.precision,0.9894,0.9894,0.9894,0.0,0.9894,0.0,1,0,0.0,maximize
stats.prdc.recall,0.8777,0.8777,0.8777,0.0,0.8777,0.0,1,0,0.0,maximize
stats.prdc.density,0.9662800000000001,0.9662800000000001,0.9662800000000001,0.0,0.9662800000000001,0.0,1,0,0.0,maximize
stats.prdc.coverage,0.7774,0.7774,0.7774,0.0,0.7774,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,maximize
stats.alpha_precision.authenticity_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.843708275862069,0.843708275862069,0.843708275862069,0.0,0.843708275862069,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.03382666666666656,0.03382666666666656,0.03382666666666656,0.0,0.03382666666666656,0.0,1,0,0.0,maximize
stats.alpha_precision.authenticity_naive,0.8741,0.8741,0.8741,0.0,0.8741,0.0,1,0,0.0,maximize
performance.linear_model.gt,0.503125769472683,0.503125769472683,0.503125769472683,0.0,0.503125769472683,0.0,1,0,0.0,maximize
performance.linear_model.syn_id,0.503126813170122,0.503126813170122,0.503126813170122,0.0,0.503126813170122,0.0,1,0,0.0,maximize
performance.linear_model.syn_ood,0.49736434929021955,0.49736434929021955,0.49736434929021955,0.0,0.49736434929021955,0.0,1,0,0.0,maximize
performance.mlp.gt,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.xgb.gt,0.8915947761067056,0.8915947761067056,0.8915947761067056,0.0,0.8915947761067056,0.0,1,0,0.0,maximize
performance.xgb.syn_id,0.8882681366965411,0.8882681366965411,0.8882681366965411,0.0,0.8882681366965411,0.0,1,0,0.0,maximize
performance.xgb.syn_ood,0.9072404145178744,0.9072404145178744,0.9072404145178744,0.0,0.9072404145178744,0.0,1,0,0.0,maximize
performance.linear_model_augmentation.gt,0.503125769472683,0.503125769472683,0.503125769472683,0.0,0.503125769472683,0.0,1,0,0.0,maximize
performance.linear_model_augmentation.aug_ood,0.49736434929021955,0.49736434929021955,0.49736434929021955,0.0,0.49736434929021955,0.0,1,0,0.0,maximize
performance.mlp_augmentation.gt,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp_augmentation.aug_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.xgb_augmentation.gt,0.8915947761067056,0.8915947761067056,0.8915947761067056,0.0,0.8915947761067056,0.0,1,0,0.0,maximize
performance.xgb_augmentation.aug_ood,0.9072404145178744,0.9072404145178744,0.9072404145178744,0.0,0.9072404145178744,0.0,1,0,0.0,maximize
performance.feat_rank_distance.corr,0.5999032014797604,0.5999032014797604,0.5999032014797604,0.0,0.5999032014797604,0.0,1,0,0.01,minimize
performance.feat_rank_distance.pvalue,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize
detection.detection_xgb.mean,0.999970765357623,0.999970765357623,0.999970765357623,0.0,0.999970765357623,0.0,1,0,0.0,minimize
detection.detection_gmm.mean,0.6338640534996539,0.6338640534996539,0.6338640534996539,0.0,0.6338640534996539,0.0,1,0,0.0,minimize
detection.detection_linear.mean,0.807609570028672,0.807609570028672,0.807609570028672,0.0,0.807609570028672,0.0,1,0,0.0,minimize
privacy.delta-presence.score,1.9636363635917355,1.9636363635917355,1.9636363635917355,0.0,1.9636363635917355,0.0,1,0,0.0,maximize
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.0,maximize
privacy.k-anonymization.syn,6.00000001,6.00000001,6.00000001,0.0,6.00000001,0.0,1,0,0.0,maximize
privacy.k-map.score,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.0,maximize
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.0,maximize
privacy.distinct l-diversity.syn,6.00000001,6.00000001,6.00000001,0.0,6.00000001,0.0,1,0,0.0,maximize
privacy.identifiability_score.score,0.2309,0.2309,0.2309,0.0,0.2309,0.0,1,0,0.0,minimize
privacy.identifiability_score.score_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
