,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.125,0.125,0.125,0.0,0.125,0.0,1,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0008290149698050431,0.0008290149698050431,0.0008290149698050431,0.0,0.0008290149698050431,0.0,1,0,0.04,minimize
sanity.close_values_probability.score,0.99945,0.99945,0.99945,0.0,0.99945,0.0,1,0,0.04,maximize
sanity.distant_values_probability.score,5e-05,5e-05,5e-05,0.0,5e-05,0.0,1,0,0.04,minimize
stats.jensenshannon_dist.marginal,0.017925981764476413,0.017925981764476413,0.017925981764476413,0.0,0.017925981764476413,0.0,1,0,0.05,minimize
stats.chi_squared_test.marginal,0.7920030331921798,0.7920030331921798,0.7920030331921798,0.0,0.7920030331921798,0.0,1,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.8504827655385053,0.8504827655385053,0.8504827655385053,0.0,0.8504827655385053,0.0,1,0,0.02,maximize
stats.ks_test.marginal,0.8670633333333332,0.8670633333333332,0.8670633333333332,0.0,0.8670633333333332,0.0,1,0,0.15,maximize
stats.max_mean_discrepancy.joint,0.00010397065114071145,0.00010397065114071145,0.00010397065114071145,0.0,0.00010397065114071145,0.0,1,0,10.01,minimize
stats.prdc.precision,0.9895,0.9895,0.9895,0.0,0.9895,0.0,1,0,13.25,maximize
stats.prdc.recall,0.81885,0.81885,0.81885,0.0,0.81885,0.0,1,0,13.25,maximize
stats.prdc.density,0.96344,0.96344,0.96344,0.0,0.96344,0.0,1,0,13.25,maximize
stats.prdc.coverage,0.72575,0.72575,0.72575,0.0,0.72575,0.0,1,0,13.25,maximize
performance.linear_model.gt,0.8012528014231822,0.8012528014231822,0.8012528014231822,0.0,0.8012528014231822,0.0,1,0,1.14,maximize
performance.linear_model.syn_id,0.7970166887948226,0.7970166887948226,0.7970166887948226,0.0,0.7970166887948226,0.0,1,0,1.14,maximize
performance.linear_model.syn_ood,0.7961145087593863,0.7961145087593863,0.7961145087593863,0.0,0.7961145087593863,0.0,1,0,1.14,maximize
performance.mlp.gt,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.15,maximize
performance.mlp.syn_id,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.15,maximize
performance.mlp.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.15,maximize
performance.xgb.gt,0.9035363543953366,0.9035363543953366,0.9035363543953366,0.0,0.9035363543953366,0.0,1,0,4.86,maximize
performance.xgb.syn_id,0.8912037301237232,0.8912037301237232,0.8912037301237232,0.0,0.8912037301237232,0.0,1,0,4.86,maximize
performance.xgb.syn_ood,0.8908052443459757,0.8908052443459757,0.8908052443459757,0.0,0.8908052443459757,0.0,1,0,4.86,maximize
performance.linear_model_augmentation.gt,0.8012528014231822,0.8012528014231822,0.8012528014231822,0.0,0.8012528014231822,0.0,1,0,1.06,maximize
performance.linear_model_augmentation.aug_ood,0.7961145087593863,0.7961145087593863,0.7961145087593863,0.0,0.7961145087593863,0.0,1,0,1.06,maximize
performance.mlp_augmentation.gt,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.15,maximize
performance.mlp_augmentation.aug_ood,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.15,maximize
performance.xgb_augmentation.gt,0.9035363543953366,0.9035363543953366,0.9035363543953366,0.0,0.9035363543953366,0.0,1,0,5.14,maximize
performance.xgb_augmentation.aug_ood,0.8908052443459757,0.8908052443459757,0.8908052443459757,0.0,0.8908052443459757,0.0,1,0,5.14,maximize
performance.feat_rank_distance.corr,0.5906193134121931,0.5906193134121931,0.5906193134121931,0.0,0.5906193134121931,0.0,1,0,2.1,minimize
performance.feat_rank_distance.pvalue,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.1,minimize
detection.detection_xgb.mean,0.9995590507122553,0.9995590507122553,0.9995590507122553,0.0,0.9995590507122553,0.0,1,0,2.62,minimize
detection.detection_gmm.mean,0.46652226196359603,0.46652226196359603,0.46652226196359603,0.0,0.46652226196359603,0.0,1,0,49.36,minimize
detection.detection_linear.mean,0.9345329896696061,0.9345329896696061,0.9345329896696061,0.0,0.9345329896696061,0.0,1,0,18.69,minimize
privacy.delta-presence.score,3.99999998,3.99999998,3.99999998,0.0,3.99999998,0.0,1,0,0.67,maximize
privacy.k-anonymization.gt,8.0,8.0,8.0,0.0,8.0,0.0,1,0,0.57,maximize
privacy.k-anonymization.syn,3.00000001,3.00000001,3.00000001,0.0,3.00000001,0.0,1,0,0.57,maximize
privacy.k-map.score,2.0,2.0,2.0,0.0,2.0,0.0,1,0,0.4,maximize
privacy.distinct l-diversity.gt,8.0,8.0,8.0,0.0,8.0,0.0,1,0,0.66,maximize
privacy.distinct l-diversity.syn,3.00000001,3.00000001,3.00000001,0.0,3.00000001,0.0,1,0,0.66,maximize
