,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0625,0.0625,0.0625,0.0,0.0625,0.0,1,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.1835657521032562,0.1835657521032562,0.1835657521032562,0.0,0.1835657521032562,0.0,1,0,0.0,minimize
sanity.close_values_probability.score,0.65,0.65,0.65,0.0,0.65,0.0,1,0,0.0,maximize
sanity.distant_values_probability.score,0.02,0.02,0.02,0.0,0.02,0.0,1,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.057305335914501015,0.057305335914501015,0.057305335914501015,0.0,0.057305335914501015,0.0,1,0,0.04,minimize
stats.chi_squared_test.marginal,0.3993117309997005,0.3993117309997005,0.3993117309997005,0.0,0.3993117309997005,0.0,1,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.5058039241550019,0.5058039241550019,0.5058039241550019,0.0,0.5058039241550019,0.0,1,0,0.0,maximize
stats.ks_test.marginal,0.5446666666666666,0.5446666666666666,0.5446666666666666,0.0,0.5446666666666666,0.0,1,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.020074990573317263,0.020074990573317263,0.020074990573317263,0.0,0.020074990573317263,0.0,1,0,0.0,minimize
stats.wasserstein_dist.joint,0.8578966874317002,0.8578966874317002,0.8578966874317002,0.0,0.8578966874317002,0.0,1,0,0.01,minimize
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
stats.prdc.recall,0.97,0.97,0.97,0.0,0.97,0.0,1,0,0.0,maximize
stats.prdc.density,1.054,1.054,1.054,0.0,1.054,0.0,1,0,0.0,maximize
stats.prdc.coverage,0.84,0.84,0.84,0.0,0.84,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.63,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.63,maximize
stats.alpha_precision.authenticity_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.63,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.122,0.122,0.122,0.0,0.122,0.0,1,0,0.63,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.019999999999999907,0.019999999999999907,0.019999999999999907,0.0,0.019999999999999907,0.0,1,0,0.63,maximize
stats.alpha_precision.authenticity_naive,0.98,0.98,0.98,0.0,0.98,0.0,1,0,0.63,maximize
performance.linear_model.gt,0.7443609022556391,0.7443609022556391,0.7443609022556391,0.0,0.7443609022556391,0.0,1,0,0.06,maximize
performance.linear_model.syn_id,0.7587719298245613,0.7587719298245613,0.7587719298245613,0.0,0.7587719298245613,0.0,1,0,0.06,maximize
performance.linear_model.syn_ood,0.7738095238095238,0.7738095238095238,0.7738095238095238,0.0,0.7738095238095238,0.0,1,0,0.06,maximize
performance.mlp.gt,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.57,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.57,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.57,maximize
performance.xgb.gt,0.8975563909774437,0.8975563909774437,0.8975563909774437,0.0,0.8975563909774437,0.0,1,0,0.26,maximize
performance.xgb.syn_id,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.0,0.7631578947368421,0.0,1,0,0.26,maximize
performance.xgb.syn_ood,0.7678571428571429,0.7678571428571429,0.7678571428571429,0.0,0.7678571428571429,0.0,1,0,0.26,maximize
performance.linear_model_augmentation.gt,0.7443609022556391,0.7443609022556391,0.7443609022556391,0.0,0.7443609022556391,0.0,1,0,0.05,maximize
performance.linear_model_augmentation.aug_ood,0.7738095238095238,0.7738095238095238,0.7738095238095238,0.0,0.7738095238095238,0.0,1,0,0.05,maximize
performance.mlp_augmentation.gt,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.56,maximize
performance.mlp_augmentation.aug_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.56,maximize
performance.xgb_augmentation.gt,0.8975563909774437,0.8975563909774437,0.8975563909774437,0.0,0.8975563909774437,0.0,1,0,0.11,maximize
performance.xgb_augmentation.aug_ood,0.7678571428571429,0.7678571428571429,0.7678571428571429,0.0,0.7678571428571429,0.0,1,0,0.11,maximize
performance.feat_rank_distance.corr,0.12631578947368421,0.12631578947368421,0.12631578947368421,0.0,0.12631578947368421,0.0,1,0,0.07,minimize
performance.feat_rank_distance.pvalue,0.4605237944389165,0.4605237944389165,0.4605237944389165,0.0,0.4605237944389165,0.0,1,0,0.07,minimize
detection.detection_xgb.mean,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.02,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.22,minimize
detection.detection_gmm.mean,0.4543879075964637,0.4543879075964637,0.4543879075964637,0.0,0.4543879075964637,0.0,1,0,0.35,minimize
detection.detection_linear.mean,0.9993878175696357,0.9993878175696357,0.9993878175696357,0.0,0.9993878175696357,0.0,1,0,1.15,minimize
privacy.delta-presence.score,3.9999999600000007,3.9999999600000007,3.9999999600000007,0.0,3.9999999600000007,0.0,1,0,0.28,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,1,0,0.01,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.01,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize
