,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation,Error
0,age,workclass,ContingencySimilarity,0.7771823430653946,,,
1,age,fnlwgt,CorrelationSimilarity,0.8913792260177746,-0.07667404889871958,0.14056749906573127,
2,age,education,ContingencySimilarity,0.7772671061791081,,,
3,age,education-num,CorrelationSimilarity,0.9244543318718563,0.03485882295410526,0.18595015921039248,
4,age,marital-status,ContingencySimilarity,0.8215679128618811,,,
5,age,occupation,ContingencySimilarity,0.6529536055034602,,,
6,age,relationship,ContingencySimilarity,0.8115109946357643,,,
7,age,race,ContingencySimilarity,0.8591535973137874,,,
8,age,sex,ContingencySimilarity,0.8766434625936694,,,
9,age,capitalgain,CorrelationSimilarity,0.998982524805272,0.12492861344815832,0.12289366305870245,
10,age,capitalloss,CorrelationSimilarity,,,,ConstantInputError: The synthetic data in column 'capitalloss' contains a constant value. Correlation is undefined for constant data.
11,age,hoursperweek,CorrelationSimilarity,0.9460228226387809,0.11544244679837168,0.2233968015208099,
12,age,native-country,ContingencySimilarity,0.8498677367839155,,,
13,age,class,ContingencySimilarity,0.9208279759223619,,,
14,workclass,fnlwgt,ContingencySimilarity,0.2483784447811309,,,
15,workclass,education,ContingencySimilarity,0.6958224478932067,,,
16,workclass,education-num,ContingencySimilarity,0.5823664059620819,,,
17,workclass,marital-status,ContingencySimilarity,0.7549805495270464,,,
18,workclass,occupation,ContingencySimilarity,0.7107370705540315,,,
19,workclass,relationship,ContingencySimilarity,0.7562405306907989,,,
20,workclass,race,ContingencySimilarity,0.7656414561238278,,,
21,workclass,sex,ContingencySimilarity,0.8345813029769461,,,
22,workclass,capitalgain,ContingencySimilarity,0.7935596412923304,,,
23,workclass,capitalloss,ContingencySimilarity,0.014823307808852881,,,
24,workclass,hoursperweek,ContingencySimilarity,0.8059260472544122,,,
25,workclass,native-country,ContingencySimilarity,0.7682330780885304,,,
26,workclass,class,ContingencySimilarity,0.8286761393882314,,,
