age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
3.0,Local-gov,47310.0,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,3.0,United-States,<=50K
2.0,Local-gov,195418.0,Masters,14.0,Never-married,Protective-serv,Not-in-family,Black,Female,4.0,0.0,3.0,United-States,>50K
4.0,Private,283637.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
2.0,Private,151504.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,3.0,United-States,>50K
3.0,Federal-gov,153066.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
2.0,Private,152744.0,Some-college,10.0,Married-spouse-absent,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,3.0,China,<=50K
2.0,Local-gov,284329.0,Some-college,10.0,Divorced,Protective-serv,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
2.0,Federal-gov,153066.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,3.0,Germany,<=50K
2.0,Local-gov,26987.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,0.0,0.0,2.0,United-States,<=50K
2.0,Private,152307.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,3.0,United-States,>50K
2.0,Private,449376.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,3.0,3.0,United-States,>50K
3.0,Local-gov,533147.0,Bachelors,13.0,Divorced,Tech-support,Unmarried,White,Female,0.0,0.0,2.0,United-States,<=50K
3.0,Federal-gov,83610.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,4.0,0.0,3.0,United-States,>50K
3.0,Private,159816.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Wife,White,Female,0.0,0.0,2.0,United-States,<=50K
4.0,Private,115931.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,3.0,United-States,<=50K
2.0,Federal-gov,351902.0,Masters,14.0,Divorced,Exec-managerial,Not-in-family,Black,Female,4.0,0.0,3.0,United-States,>50K
2.0,Private,263871.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,3.0,Cuba,>50K
2.0,Private,163845.0,HS-grad,9.0,Divorced,Machine-op-inspct,Unmarried,Black,Female,0.0,0.0,2.0,United-States,<=50K
