metrics,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.125,0.125,0.125,0.0,0.125,0.0,1,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.010394072431267568,0.010394072431267568,0.010394072431267568,0.0,0.010394072431267568,0.0,1,0,0.0,minimize
sanity.close_values_probability.score,0.995,0.995,0.995,0.0,0.995,0.0,1,0,0.0,maximize
sanity.distant_values_probability.score,0.002,0.002,0.002,0.0,0.002,0.0,1,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.04282820412140117,0.04282820412140117,0.04282820412140117,0.0,0.04282820412140117,0.0,1,0,0.0,minimize
stats.chi_squared_test.marginal,0.574511786101154,0.574511786101154,0.574511786101154,0.0,0.574511786101154,0.0,1,0,0.0,maximize
stats.inv_kl_divergence.marginal,0.6730211175666158,0.6730211175666158,0.6730211175666158,0.0,0.6730211175666158,0.0,1,0,0.0,maximize
stats.ks_test.marginal,0.7242666666666666,0.7242666666666666,0.7242666666666666,0.0,0.7242666666666666,0.0,1,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.0020062926421577964,0.0020062926421577964,0.0020062926421577964,0.0,0.0020062926421577964,0.0,1,0,0.05,minimize
stats.wasserstein_dist.joint,0.5897630246023867,0.5897630246023867,0.5897630246023867,0.0,0.5897630246023867,0.0,1,0,0.0,minimize
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize
stats.prdc.recall,0.94,0.94,0.94,0.0,0.94,0.0,1,0,0.0,maximize
stats.prdc.density,0.9632000000000001,0.9632000000000001,0.9632000000000001,0.0,0.9632000000000001,0.0,1,0,0.0,maximize
stats.prdc.coverage,0.67,0.67,0.67,0.0,0.67,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.8402137931034482,0.8402137931034482,0.8402137931034482,0.0,0.8402137931034482,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.029200000000000115,0.029200000000000115,0.029200000000000115,0.0,0.029200000000000115,0.0,1,0,0.0,maximize
stats.alpha_precision.authenticity_OC,0.96,0.96,0.96,0.0,0.96,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.22486666666666677,0.22486666666666677,0.22486666666666677,0.0,0.22486666666666677,0.0,1,0,0.0,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.024599999999999955,0.024599999999999955,0.024599999999999955,0.0,0.024599999999999955,0.0,1,0,0.0,maximize
stats.alpha_precision.authenticity_naive,0.987,0.987,0.987,0.0,0.987,0.0,1,0,0.0,maximize
performance.linear_model.gt,0.7940494244068185,0.7940494244068185,0.7940494244068185,0.0,0.7940494244068185,0.0,1,0,0.0,maximize
performance.linear_model.syn_id,0.7709028396625133,0.7709028396625133,0.7709028396625133,0.0,0.7709028396625133,0.0,1,0,0.0,maximize
performance.linear_model.syn_ood,0.757562724014337,0.757562724014337,0.757562724014337,0.0,0.757562724014337,0.0,1,0,0.0,maximize
performance.mlp.gt,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp.syn_ood,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,0,0.0,maximize
performance.xgb.gt,0.8723954343396443,0.8723954343396443,0.8723954343396443,0.0,0.8723954343396443,0.0,1,0,0.0,maximize
performance.xgb.syn_id,0.8316934529858407,0.8316934529858407,0.8316934529858407,0.0,0.8316934529858407,0.0,1,0,0.0,maximize
performance.xgb.syn_ood,0.8645161290322582,0.8645161290322582,0.8645161290322582,0.0,0.8645161290322582,0.0,1,0,0.0,maximize
performance.linear_model_augmentation.gt,0.7940494244068185,0.7940494244068185,0.7940494244068185,0.0,0.7940494244068185,0.0,1,0,0.0,maximize
performance.linear_model_augmentation.aug_ood,0.757562724014337,0.757562724014337,0.757562724014337,0.0,0.757562724014337,0.0,1,0,0.0,maximize
performance.mlp_augmentation.gt,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp_augmentation.aug_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
