Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.69,0.525,0.19,1.5245,0.8125,0.3655,0.3925,8.0
F,0.575,0.445,0.145,0.871,0.3535,0.1675,0.26,12.0
F,0.56,0.44,0.165,0.908,0.3895,0.214,0.275,17.0
M,0.625,0.495,0.16,1.2435,0.5255,0.2955,0.31,11.0
F,0.375,0.305,0.09,0.2875,0.12,0.05,0.0905,8.0
I,0.575,0.455,0.14,0.8725,0.415,0.2045,0.22,8.0
M,0.63,0.495,0.18,1.3105,0.5395,0.3235,0.335,10.0
M,0.555,0.43,0.14,0.8105,0.4365,0.1755,0.24,9.0
M,0.635,0.505,0.16,1.14,0.511,0.2575,0.355,11.0
M,0.61,0.47,0.155,1.142,0.4655,0.2565,0.305,11.0
M,0.59,0.45,0.145,0.944,0.3675,0.184,0.2685,10.0
I,0.41,0.3,0.095,0.3375,0.1655,0.065,0.07,7.0
M,0.64,0.485,0.2,1.2125,0.539,0.2195,0.41,10.0
I,0.405,0.325,0.09,0.3245,0.1405,0.07,0.1,7.0
I,0.575,0.45,0.15,0.9325,0.3885,0.2575,0.2515,9.0
F,0.65,0.515,0.185,1.3375,0.531,0.2945,0.35,11.0
M,0.53,0.415,0.14,0.741,0.3045,0.1535,0.205,9.0
M,0.49,0.355,0.115,0.4415,0.191,0.094,0.16,10.0
M,0.575,0.475,0.155,1.0835,0.4985,0.24,0.265,12.0
M,0.57,0.45,0.145,0.8715,0.423,0.1955,0.265,8.0
M,0.615,0.47,0.15,1.0165,0.5265,0.2315,0.2895,9.0
F,0.54,0.42,0.125,0.674,0.302,0.1465,0.19,8.0
I,0.54,0.425,0.14,0.7665,0.3375,0.1345,0.2,8.0
M,0.56,0.44,0.145,0.873,0.38,0.178,0.225,10.0
M,0.56,0.465,0.155,0.9275,0.4335,0.1715,0.265,15.0
M,0.625,0.495,0.17,1.2275,0.4905,0.25,0.33,15.0
M,0.53,0.385,0.155,0.6765,0.282,0.16,0.2,10.0
