Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.625,0.515,0.19,1.4035,0.6445,0.2925,0.435,12.0
F,0.515,0.4,0.125,0.6275,0.2845,0.1405,0.14,8.0
I,0.37,0.29,0.085,0.2435,0.097,0.0455,0.078,6.0
F,0.53,0.425,0.135,0.6995,0.3115,0.1315,0.185,8.0
F,0.62,0.475,0.155,1.0095,0.429,0.216,0.2425,12.0
I,0.3,0.24,0.075,0.1385,0.0525,0.0265,0.045,5.0
F,0.65,0.5,0.175,1.5165,0.73,0.3615,0.355,11.0
M,0.595,0.465,0.175,1.09,0.541,0.2615,0.285,9.0
F,0.59,0.44,0.155,0.824,0.3685,0.1715,0.23,8.0
F,0.675,0.525,0.18,1.567,0.69,0.3525,0.415,9.0
F,0.625,0.49,0.155,1.1835,0.4335,0.2595,0.39,12.0
M,0.57,0.455,0.145,0.857,0.3825,0.2055,0.23,9.0
F,0.67,0.505,0.15,1.2435,0.57,0.2955,0.3195,8.0
F,0.69,0.55,0.2,1.8115,0.7405,0.402,0.488,10.0
M,0.63,0.49,0.15,1.142,0.5405,0.2425,0.355,11.0
I,0.2,0.15,0.05,0.0265,0.0145,0.0055,0.01,4.0
F,0.645,0.475,0.18,1.362,0.6245,0.2975,0.335,9.0
I,0.39,0.305,0.08,0.2755,0.1225,0.043,0.095,7.0
I,0.35,0.265,0.08,0.2225,0.0995,0.0535,0.076,6.0
I,0.36,0.27,0.085,0.198,0.077,0.038,0.073,6.0
M,0.39,0.3,0.11,0.2875,0.12,0.0545,0.08,7.0
F,0.69,0.535,0.175,1.8605,0.7175,0.2655,0.5,15.0
I,0.38,0.28,0.085,0.2255,0.0825,0.0385,0.06,5.0
F,0.635,0.5,0.165,1.2235,0.4865,0.2995,0.33,15.0
F,0.68,0.525,0.195,1.7395,0.713,0.2635,0.435,15.0
F,0.665,0.515,0.18,1.5385,0.633,0.2955,0.43,12.0
F,0.575,0.44,0.15,0.812,0.4355,0.197,0.245,10.0
F,0.645,0.505,0.175,1.3835,0.6525,0.294,0.405,9.0
F,0.615,0.48,0.165,1.061,0.4695,0.2635,0.29,11.0
F,0.675,0.525,0.18,1.6145,0.6865,0.331,0.415,13.0
M,0.565,0.435,0.155,0.8745,0.4605,0.2195,0.23,9.0
I,0.36,0.265,0.075,0.21,0.079,0.0595,0.07,7.0
F,0.625,0.485,0.16,1.122,0.4125,0.2645,0.36,11.0
I,0.495,0.375,0.125,0.5945,0.2465,0.1245,0.17,8.0
F,0.605,0.475,0.16,1.1645,0.4985,0.2635,0.32,9.0
I,0.19,0.15,0.045,0.0265,0.0195,0.0045,0.01,3.0
M,0.56,0.43,0.15,0.838,0.4025,0.1765,0.295,9.0
F,0.575,0.46,0.16,0.869,0.414,0.2095,0.235,10.0
F,0.58,0.46,0.145,0.923,0.37,0.185,0.28,12.0
F,0.575,0.435,0.135,0.8465,0.3865,0.1835,0.26,10.0
I,0.42,0.33,0.105,0.3265,0.1445,0.0735,0.09,6.0
F,0.53,0.425,0.165,0.8705,0.4395,0.1595,0.26,9.0
I,0.495,0.38,0.115,0.5745,0.253,0.1075,0.169,8.0
F,0.545,0.44,0.145,0.832,0.3125,0.1415,0.255,15.0
F,0.655,0.51,0.16,1.494,0.7155,0.2985,0.3225,8.0
F,0.625,0.515,0.175,1.337,0.5795,0.2655,0.386,9.0
F,0.65,0.525,0.19,1.6275,0.694,0.2985,0.435,8.0
F,0.63,0.495,0.16,1.1345,0.5415,0.2165,0.285,10.0
F,0.47,0.35,0.125,0.467,0.1605,0.087,0.14,9.0
F,0.645,0.515,0.2,1.3835,0.7245,0.3125,0.395,10.0
F,0.58,0.44,0.135,0.9205,0.4335,0.2025,0.255,8.0
I,0.36,0.275,0.09,0.2425,0.1005,0.059,0.074,7.0
F,0.63,0.525,0.18,1.6275,0.724,0.2925,0.38,11.0
F,0.65,0.515,0.175,1.5175,0.7255,0.2635,0.405,9.0
F,0.645,0.505,0.18,1.3835,0.5205,0.2615,0.435,16.0
I,0.37,0.27,0.075,0.18,0.0725,0.038,0.063,6.0
M,0.655,0.515,0.205,1.406,0.6025,0.3035,0.415,17.0
I,0.29,0.215,0.075,0.1055,0.0545,0.0305,0.045,5.0
M,0.645,0.5,0.175,1.3545,0.6355,0.29,0.354,10.0
F,0.555,0.425,0.15,0.959,0.3865,0.185,0.3,8.0
F,0.655,0.525,0.18,1.46,0.6865,0.2695,0.4065,8.0
M,0.575,0.455,0.145,0.876,0.3125,0.1825,0.275,10.0
F,0.57,0.44,0.15,1.12,0.4115,0.2615,0.295,12.0
F,0.645,0.51,0.165,1.37,0.5725,0.2745,0.405,11.0
F,0.615,0.49,0.175,1.283,0.5305,0.2565,0.335,11.0
M,0.58,0.445,0.155,0.9605,0.4695,0.2195,0.275,9.0
M,0.63,0.505,0.16,1.2895,0.6275,0.273,0.3,11.0
F,0.575,0.46,0.15,0.8395,0.3275,0.1525,0.235,13.0
I,0.44,0.33,0.1,0.3685,0.1845,0.0945,0.095,6.0
F,0.505,0.38,0.135,0.5775,0.2785,0.1245,0.175,7.0
M,0.545,0.43,0.15,0.8495,0.3445,0.1595,0.225,11.0
F,0.45,0.35,0.105,0.468,0.1735,0.0925,0.155,14.0
F,0.605,0.475,0.165,1.0915,0.4285,0.1955,0.32,17.0
F,0.385,0.3,0.105,0.2935,0.1245,0.0535,0.085,8.0
M,0.575,0.46,0.16,1.0045,0.4575,0.2315,0.274,11.0
F,0.56,0.425,0.15,0.8155,0.425,0.157,0.2385,9.0
M,0.575,0.44,0.135,0.9395,0.4525,0.189,0.245,11.0
F,0.545,0.43,0.135,0.8275,0.3665,0.1635,0.295,12.0
I,0.39,0.3,0.11,0.3575,0.163,0.072,0.085,7.0
F,0.555,0.435,0.145,0.832,0.4285,0.1735,0.1725,8.0
M,0.625,0.48,0.15,1.0265,0.49,0.246,0.309,9.0
F,0.705,0.55,0.18,1.273,0.4285,0.2515,0.42,16.0
M,0.625,0.49,0.18,1.1135,0.5055,0.277,0.295,10.0
F,0.475,0.375,0.135,0.4755,0.1905,0.1045,0.155,10.0
F,0.63,0.49,0.15,1.142,0.5265,0.239,0.31,10.0
F,0.545,0.44,0.145,0.7855,0.3745,0.1615,0.195,8.0
F,0.68,0.525,0.215,1.638,0.6985,0.2555,0.405,11.0
F,0.575,0.45,0.125,0.9065,0.339,0.1915,0.26,11.0
F,0.625,0.475,0.15,0.957,0.4645,0.2065,0.3045,10.0
F,0.595,0.46,0.15,0.924,0.4155,0.171,0.295,9.0
I,0.625,0.48,0.15,1.187,0.594,0.2565,0.275,7.0
M,0.575,0.46,0.15,0.8605,0.391,0.1945,0.2,8.0
F,0.575,0.44,0.175,0.869,0.4205,0.206,0.275,10.0
I,0.475,0.35,0.135,0.4475,0.2025,0.0935,0.157,10.0
F,0.575,0.465,0.145,0.9285,0.4155,0.2055,0.255,8.0
F,0.68,0.54,0.19,1.8165,0.7185,0.4585,0.5,24.0
I,0.31,0.225,0.075,0.228,0.1005,0.0545,0.05,7.0
M,0.595,0.455,0.18,0.8295,0.2945,0.1725,0.275,9.0
F,0.6,0.46,0.155,1.114,0.4545,0.2565,0.285,11.0
F,0.39,0.29,0.09,0.2295,0.087,0.0515,0.085,7.0
M,0.53,0.4,0.16,0.6555,0.2985,0.1635,0.18,8.0
F,0.58,0.445,0.125,0.869,0.3485,0.175,0.255,13.0
F,0.625,0.515,0.155,1.3675,0.4535,0.2885,0.44,16.0
F,0.58,0.46,0.145,0.838,0.3885,0.195,0.255,9.0
M,0.665,0.525,0.17,1.521,0.5445,0.3035,0.415,11.0
F,0.555,0.435,0.16,1.0635,0.377,0.2355,0.285,20.0
M,0.65,0.525,0.175,1.3745,0.5755,0.2935,0.405,9.0
I,0.36,0.26,0.115,0.3,0.1385,0.068,0.085,5.0
I,0.545,0.435,0.155,0.83,0.391,0.1515,0.27,13.0
I,0.385,0.285,0.08,0.241,0.0925,0.051,0.07,6.0
M,0.51,0.395,0.135,0.578,0.2565,0.1255,0.175,12.0
M,0.625,0.47,0.15,1.145,0.435,0.231,0.28,15.0
F,0.42,0.325,0.105,0.4335,0.1675,0.091,0.125,9.0
F,0.69,0.51,0.17,1.8115,0.931,0.35,0.45,10.0
I,0.43,0.35,0.11,0.394,0.1645,0.0795,0.12,7.0
F,0.63,0.49,0.175,1.0475,0.5255,0.2345,0.317,9.0
F,0.67,0.52,0.175,1.6335,0.675,0.3685,0.425,11.0
M,0.605,0.49,0.155,1.137,0.5195,0.214,0.315,12.0
F,0.64,0.48,0.15,1.2235,0.5185,0.2915,0.309,9.0
F,0.6,0.46,0.145,1.0125,0.4615,0.2245,0.28,10.0
F,0.56,0.44,0.155,0.922,0.4355,0.2565,0.29,11.0
F,0.545,0.425,0.135,0.7665,0.297,0.1445,0.195,7.0
I,0.44,0.32,0.11,0.366,0.1685,0.07,0.095,6.0
M,0.675,0.565,0.205,1.773,0.8525,0.383,0.471,22.0
M,0.55,0.43,0.135,0.7855,0.3945,0.1445,0.245,8.0
M,0.57,0.44,0.135,0.7665,0.3115,0.1405,0.205,7.0
F,0.565,0.43,0.155,0.8025,0.3155,0.1715,0.235,8.0
F,0.56,0.425,0.155,0.895,0.3375,0.2215,0.245,12.0
M,0.58,0.46,0.105,1.0135,0.485,0.2355,0.247,8.0
