age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
0.0,Private,182676.0,11th,7.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
0.0,,185582.0,Some-college,10.0,Never-married,,Own-child,White,Male,0.0,0.0,2.0,United-States,<=50K
1.0,Private,155664.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,4.0,0.0,2.0,United-States,>50K
1.0,Private,217747.0,10th,6.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,3.0,United-States,<=50K
0.0,Federal-gov,164901.0,Bachelors,13.0,Never-married,Adm-clerical,Other-relative,White,Female,0.0,0.0,2.0,United-States,<=50K
0.0,Private,271012.0,11th,7.0,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,1.0,United-States,<=50K
0.0,Private,160101.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
1.0,Local-gov,187830.0,9th,5.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
0.0,Federal-gov,181666.0,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
0.0,Private,38251.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
3.0,Private,162761.0,Bachelors,13.0,Widowed,Tech-support,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
0.0,Private,185582.0,HS-grad,9.0,Never-married,Adm-clerical,Unmarried,White,Female,0.0,0.0,2.0,United-States,<=50K
3.0,Private,187847.0,Bachelors,13.0,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,3.0,United-States,>50K
3.0,,114055.0,HS-grad,9.0,Widowed,,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
4.0,Local-gov,119904.0,10th,6.0,Widowed,Adm-clerical,Unmarried,White,Female,0.0,0.0,1.0,United-States,<=50K
3.0,Self-emp-inc,230329.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,3.0,United-States,>50K
0.0,Private,374969.0,Bachelors,13.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
4.0,State-gov,22743.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,4.0,0.0,2.0,United-States,>50K
4.0,Private,95552.0,HS-grad,9.0,Widowed,Sales,Other-relative,White,Female,0.0,0.0,2.0,United-States,<=50K
2.0,Local-gov,156926.0,Masters,14.0,Married-civ-spouse,Protective-serv,Husband,Black,Male,3.0,0.0,2.0,United-States,>50K
0.0,Self-emp-not-inc,214227.0,Bachelors,13.0,Never-married,Other-service,Own-child,Black,Female,0.0,0.0,1.0,United-States,<=50K
3.0,Local-gov,106232.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
0.0,Private,274969.0,11th,7.0,Never-married,Adm-clerical,Other-relative,White,Female,0.0,0.0,1.0,United-States,<=50K
0.0,Private,103628.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
3.0,Self-emp-inc,162678.0,Doctorate,16.0,Married-civ-spouse,Sales,Husband,White,Male,4.0,0.0,3.0,United-States,>50K
0.0,Federal-gov,347935.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,2.0,United-States,<=50K
1.0,Private,114982.0,Bachelors,13.0,Divorced,Adm-clerical,Not-in-family,White,Female,4.0,0.0,2.0,United-States,>50K
2.0,Private,181246.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,4.0,0.0,2.0,United-States,>50K
0.0,Private,243986.0,10th,6.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,0.0,United-States,<=50K
3.0,Local-gov,130749.0,Some-college,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,2.0,United-States,<=50K
3.0,Local-gov,187969.0,HS-grad,9.0,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,2.0,United-States,<=50K
2.0,Private,240172.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
1.0,Private,341638.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2.0,3.0,United-States,>50K
3.0,Local-gov,166774.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,3.0,0.0,1.0,United-States,>50K
2.0,Private,161676.0,5th-6th,3.0,Divorced,Craft-repair,Unmarried,White,Female,0.0,0.0,2.0,United-States,<=50K
2.0,Private,124971.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
0.0,Private,181581.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
0.0,Private,132680.0,Some-college,10.0,Never-married,Adm-clerical,Other-relative,White,Female,0.0,0.0,1.0,United-States,<=50K
1.0,Private,189194.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
3.0,Private,278617.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
3.0,Private,160785.0,Masters,14.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,4.0,0.0,2.0,United-States,>50K
2.0,Private,182581.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,4.0,0.0,2.0,United-States,>50K
0.0,Local-gov,324637.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
1.0,Local-gov,182752.0,Some-college,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
3.0,Private,187618.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,3.0,United-States,>50K
3.0,Private,181091.0,9th,5.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
0.0,Local-gov,319846.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
4.0,Private,322799.0,11th,7.0,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,1.0,United-States,<=50K
4.0,Federal-gov,403788.0,Bachelors,13.0,Widowed,Adm-clerical,Unmarried,Black,Female,0.0,0.0,2.0,United-States,<=50K
4.0,Private,182855.0,HS-grad,9.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
4.0,Local-gov,185680.0,11th,7.0,Widowed,Other-service,Not-in-family,Black,Female,0.0,0.0,1.0,United-States,<=50K
4.0,Private,164552.0,11th,7.0,Widowed,Other-service,Unmarried,Black,Female,0.0,0.0,1.0,United-States,<=50K
4.0,Private,175052.0,HS-grad,9.0,Widowed,Adm-clerical,Other-relative,White,Female,0.0,0.0,2.0,United-States,<=50K
0.0,Private,152572.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,2.0,United-States,<=50K
4.0,Federal-gov,119793.0,Some-college,10.0,Widowed,Adm-clerical,Unmarried,White,Female,0.0,0.0,2.0,United-States,<=50K
3.0,State-gov,95552.0,10th,6.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,2.0,United-States,<=50K
3.0,Private,174685.0,11th,7.0,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,2.0,United-States,<=50K
0.0,Private,117849.0,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
4.0,Local-gov,166691.0,Some-college,10.0,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,1.0,United-States,<=50K
0.0,Local-gov,163053.0,Bachelors,13.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
4.0,Local-gov,161691.0,10th,6.0,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
0.0,Private,164938.0,HS-grad,9.0,Never-married,Other-service,Other-relative,White,Female,0.0,0.0,1.0,United-States,<=50K
0.0,Private,167816.0,HS-grad,9.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,1.0,United-States,<=50K
3.0,Local-gov,273206.0,Bachelors,13.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
