age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
2.0,Self-emp-not-inc,175232.0,HS-grad,9.0,Never-married,Protective-serv,Not-in-family,White,Female,0.0,0.0,3.0,United-States,<=50K
3.0,Local-gov,187847.0,Prof-school,10.0,Never-married,Adm-clerical,Unmarried,White,Male,2.0,0.0,3.0,United-States,>50K
0.0,Self-emp-inc,114939.0,5th-6th,7.0,Widowed,Tech-support,Other-relative,White,Male,0.0,0.0,1.0,United-States,<=50K
0.0,Private,165586.0,10th,6.0,Separated,Craft-repair,Husband,White,Female,0.0,0.0,2.0,United-States,<=50K
2.0,Private,187581.0,Bachelors,13.0,Widowed,Tech-support,Own-child,White,Male,0.0,3.0,2.0,United-States,>50K
1.0,Federal-gov,187847.0,HS-grad,13.0,Divorced,Machine-op-inspct,Husband,White,Female,3.0,0.0,2.0,United-States,>50K
2.0,Private,187830.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
2.0,Local-gov,196307.0,Bachelors,13.0,Married-civ-spouse,Protective-serv,Husband,White,Female,4.0,0.0,3.0,United-States,>50K
3.0,Local-gov,160187.0,Assoc-acdm,7.0,Widowed,Tech-support,Wife,Black,Female,0.0,0.0,2.0,United-States,>50K
2.0,Federal-gov,181628.0,7th-8th,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,4.0,0.0,2.0,United-States,>50K
0.0,Local-gov,340428.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0.0,0.0,2.0,United-States,<=50K
4.0,Local-gov,182836.0,HS-grad,9.0,Widowed,Adm-clerical,Not-in-family,White,Male,0.0,0.0,1.0,United-States,<=50K
2.0,Private,174102.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,0.0,2.0,3.0,United-States,>50K
1.0,Private,196266.0,Some-college,13.0,Married-civ-spouse,Tech-support,Own-child,White,Male,3.0,0.0,2.0,United-States,>50K
2.0,State-gov,175339.0,Bachelors,13.0,Never-married,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,2.0,United-States,>50K
2.0,Private,160910.0,HS-grad,9.0,Widowed,Tech-support,Not-in-family,White,Female,4.0,0.0,3.0,United-States,>50K
1.0,Self-emp-not-inc,342599.0,11th,7.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
0.0,Private,340171.0,Bachelors,13.0,Widowed,Protective-serv,Husband,White,Female,0.0,0.0,2.0,United-States,<=50K
0.0,Private,191782.0,Bachelors,13.0,Never-married,Adm-clerical,Unmarried,Black,Male,0.0,0.0,2.0,Jamaica,<=50K
0.0,Private,183945.0,10th,13.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
1.0,Self-emp-not-inc,114639.0,Prof-school,9.0,Married-civ-spouse,Sales,Husband,White,Male,2.0,0.0,2.0,United-States,>50K
