MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
2.712191,38.5,4.499365058200409,0.897229673737597,684.1,4.537513840669903,32.18,-121.98,1.466
2.628168,37.7,4.622917622626336,0.949173549152609,713.9,4.530640336469647,33.0,-106.94,1.943
2.732168,36.1,4.472067887080312,1.0,715.6,4.19616888063871,32.47,-125.71,1.967
6.076451,34.8,5.569465425960676,1.085456221985762,731.9,4.559225190851425,33.15,-116.0,4.517
2.61548,37.3,4.215678605320356,1.019442475647862,666.1,4.80559583387511,33.72,-121.52,1.4
2.615482,36.7,4.706226464191376,0.9,736.2,4.31635597967709,35.51,-126.08,1.141
7.171273,37.6,5.656906599092347,1.01594539826674,618.3,4.878760160424444,33.53,-126.81,5.02544
3.786385,37.1,4.466324313675538,0.915107799927949,692.5,4.748795494190374,31.38,-125.31,2.539
2.584342,37.9,4.810056693508757,1.1,697.5,4.44082761959741,36.02,-129.54,1.802
3.745385,35.0,4.874858501740325,1.0,737.6,4.57744792321388,32.65,-130.13,2.352
3.561972,38.4,4.282280253800961,1.0,715.8,4.97848985837185,33.98,-123.14,2.094
2.584837,36.4,4.478981756101502,1.1,664.8,4.77915638246899,34.84,-121.57,1.28
2.678481,39.7,4.47748756401417,0.928008707611026,679.8,4.637771670880822,34.42,-122.49,1.554
5.106301,34.8,5.390734476454059,0.922555828142182,722.1,4.580643883424524,35.94,-121.67,4.654
2.418217,39.1,4.849690859661887,0.962899930304808,712.2,4.653492706014449,34.9,-115.56,1.499
2.57206,36.4,4.611437449507949,1.043337221448073,694.3,4.517115705045716,32.61,-119.75,1.912
2.512443,34.8,4.594979120280711,0.9,697.8,4.12491877342447,37.79,-121.16,1.755
2.688046,35.1,4.19000982323661,0.9,739.9,5.08080026593559,38.13,-116.19,1.45
2.526311,35.4,4.804508945417401,1.0,696.5,4.64587397087506,33.83,-129.2,1.314
4.318353,36.8,5.306068332768715,1.019203822401989,711.9,4.728021010986436,35.72,-117.69,3.723
2.840403,36.9,4.670519667955948,1.1,792.6,4.59672306516101,34.51,-133.8,0.43
4.594011,35.0,5.735015699624539,1.0,664.1,4.44062397460806,34.76,-111.51,3.422
3.658776,36.0,4.973365460950312,1.0,648.8,4.5672147541441,38.33,-117.99,1.903
2.457937,39.9,4.351835250508126,1.049066193320186,743.0,4.2650171630031,33.61,-117.56,1.455
2.57443,39.1,3.953537826346768,0.9,690.7,5.13494752936751,33.54,-128.27,1.05
2.661142,36.8,4.699371030369421,0.972574283779275,703.6,4.349592166371674,34.28,-123.79,1.811
2.494161,36.1,5.075775583169952,1.00128536092754,687.1,4.396539586730497,35.91,-119.19,1.607
2.696178,36.2,4.94502740843691,1.0,705.7,4.50858969741316,31.51,-114.53,1.426
2.566986,37.1,4.705380298202829,1.0,772.1,4.90697703480532,30.73,-114.35,0.87
