Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.56,0.5,0.126,0.525,0.2599,0.1202,0.164,8.6
F,0.56,0.5,0.16,1.036,0.573,0.234,0.258,7.4
F,0.548,0.4,0.1,0.526,0.29,0.0833,0.159,7.5
F,0.72,0.46,0.17,1.4794,0.52,0.267,0.392,12.7
F,0.64,0.56,0.15,1.5355,0.625,0.315,0.347,9.6
F,0.503,0.4,0.138,0.6104,0.3225,0.1252,0.2,7.5
F,0.666,0.496,0.135,0.9411,0.3097,0.183,0.266,10.4
F,0.68,0.52,0.17,1.17,0.6151,0.3099,0.299,10.2
F,0.567,0.503,0.16,1.2396,0.547,0.2367,0.35,12.5
F,0.532,0.37,0.148,0.6418,0.3312,0.176,0.17,11.4
I,0.24,0.198,0.055,0.0639,0.0346,0.0145,0.0104,5.1
M,0.529,0.46,0.125,1.0357,0.3674,0.2367,0.2272,7.0
F,0.568,0.56,0.162,0.995,0.3484,0.242,0.342,10.9
M,0.3,0.32,0.1,0.3041,0.167,0.0727,0.1,6.4
F,0.49,0.54,0.16,0.9261,0.4211,0.199,0.288,8.7
F,0.543,0.47,0.16,0.9863,0.41,0.165,0.223,8.3
F,0.562,0.46,0.17,1.0936,0.527,0.2215,0.39,11.0
I,0.521,0.376,0.108,0.4756,0.2637,0.1511,0.244,9.1
F,0.568,0.479,0.186,1.159,0.4367,0.28,0.33,13.5
F,0.562,0.537,0.153,1.344,0.6547,0.3041,0.3,9.0
F,0.762,0.57,0.176,1.575,0.7637,0.2938,0.405,14.5
F,0.494,0.36,0.139,0.6452,0.299,0.1163,0.18,5.9
F,0.629,0.49,0.17,1.1923,0.4217,0.2527,0.45,8.5
F,0.433,0.5,0.117,0.724,0.2637,0.1222,0.21,9.0
F,0.6,0.6,0.1,0.8647,0.352,0.316,0.3,11.1
F,0.59,0.46,0.16,0.9328,0.3742,0.2064,0.278,11.4
I,0.288,0.25,0.11,0.2481,0.1092,0.0471,0.067,5.2
F,0.597,0.46,0.18,1.1123,0.417,0.2443,0.27,10.6
F,0.43,0.37,0.138,0.385,0.2047,0.1146,0.1,6.2
F,0.616,0.44,0.166,1.3883,0.7394,0.2939,0.352,11.4
F,0.54,0.47,0.16,0.8064,0.4959,0.195,0.229,8.6
F,0.658,0.37,0.14,0.7842,0.367,0.212,0.221,7.6
M,0.544,0.46,0.141,0.8933,0.34,0.192,0.24,7.4
I,0.23,0.2,0.079,0.0852,0.039,0.027,0.04,2.7
F,0.57,0.39,0.149,0.65,0.2615,0.1527,0.176,11.6
F,0.452,0.5,0.172,0.7088,0.281,0.152,0.176,6.7
F,0.45,0.285,0.1,0.3626,0.1825,0.074,0.088,5.1
F,0.486,0.42,0.14,1.1538,0.4161,0.244,0.26,11.8
F,0.542,0.5,0.175,1.22,0.655,0.34,0.362,6.2
F,0.58,0.51,0.13,0.9387,0.4232,0.219,0.25,9.2
F,0.542,0.44,0.12,0.7146,0.2893,0.1297,0.192,10.8
F,0.585,0.434,0.14,1.027,0.5334,0.2131,0.297,10.5
F,0.549,0.49,0.128,0.84,0.3224,0.163,0.311,9.4
M,0.606,0.49,0.15,1.11,0.4743,0.2347,0.283,8.5
F,0.575,0.53,0.2,1.915,0.7921,0.415,0.44,14.0
F,0.534,0.5,0.17,0.8733,0.4414,0.298,0.321,9.4
F,0.596,0.52,0.175,1.3876,0.5623,0.2326,0.36,11.0
F,0.746,0.46,0.18,1.534,0.865,0.3517,0.513,10.9
F,0.59,0.5,0.15,0.945,0.4557,0.2619,0.221,7.0
F,0.54,0.61,0.15,1.37,0.565,0.2301,0.288,9.7
I,0.47,0.33,0.12,0.2601,0.115,0.065,0.09,6.6
F,0.601,0.51,0.15,1.162,0.5,0.2728,0.38,13.5
F,0.53,0.46,0.15,0.9308,0.4304,0.204,0.284,14.4
F,0.663,0.5,0.17,0.9986,0.5092,0.239,0.385,9.3
F,0.78,0.52,0.16,2.308,0.8,0.3544,0.477,11.2
F,0.683,0.43,0.14,1.0007,0.55,0.194,0.33,5.0
F,0.6,0.504,0.167,1.3057,0.7548,0.3132,0.408,9.7
F,0.586,0.553,0.16,1.222,0.6045,0.2249,0.37,10.0
F,0.65,0.49,0.18,0.962,0.4653,0.243,0.424,14.3
I,0.554,0.37,0.127,0.618,0.3168,0.1183,0.196,7.5
F,0.643,0.58,0.2,1.61,0.9401,0.3447,0.447,11.5
F,0.71,0.39,0.18,1.7251,0.8105,0.443,0.53,9.5
F,0.59,0.563,0.182,1.1972,0.437,0.2953,0.323,10.2
F,0.5,0.368,0.15,0.924,0.4793,0.1684,0.28,9.1
I,0.5,0.34,0.14,0.4103,0.186,0.098,0.14,7.2
F,0.653,0.41,0.15,1.1287,0.4323,0.239,0.287,9.1
F,0.511,0.344,0.102,0.808,0.237,0.144,0.21,9.6
F,0.611,0.485,0.133,0.9082,0.39,0.2258,0.26,6.9
F,0.627,0.453,0.18,1.04,0.4093,0.243,0.3092,3.5
F,0.6,0.48,0.191,0.9586,0.509,0.2392,0.28,7.1
F,0.65,0.503,0.2,1.228,0.695,0.2607,0.456,12.3
M,0.83,0.592,0.242,2.486,1.023,0.501,0.435,10.0
F,0.6,0.49,0.177,1.2687,0.4219,0.2711,0.341,11.2
F,0.723,0.414,0.15,1.2417,0.4578,0.208,0.287,12.3
F,0.4,0.49,0.14,0.9,0.4361,0.2484,0.27,8.6
F,0.655,0.47,0.15,1.2982,0.4617,0.2581,0.328,14.6
F,0.6,0.39,0.16,1.0,0.4399,0.2033,0.2,8.6
M,0.55,0.43,0.151,1.0094,0.3633,0.1573,0.184,10.9
F,0.631,0.56,0.16,1.1918,0.5234,0.3271,0.29,11.6
F,0.413,0.41,0.11,0.548,0.239,0.1486,0.198,7.9
F,0.641,0.52,0.175,1.541,0.6152,0.25,0.502,11.4
F,0.59,0.47,0.16,1.1798,0.5214,0.2559,0.3101,10.1
F,0.72,0.47,0.15,0.9354,0.599,0.258,0.4,11.1
F,0.517,0.53,0.104,0.6809,0.26,0.1273,0.23,7.5
I,0.418,0.36,0.1,0.398,0.2019,0.0805,0.124,7.8
F,0.489,0.412,0.12,0.6356,0.23,0.1547,0.179,11.1
I,0.595,0.49,0.128,0.781,0.379,0.1712,0.22,9.1
I,0.2,0.179,0.054,0.075,0.0146,0.0058,0.01,4.1
F,0.5,0.37,0.129,0.476,0.3191,0.1447,0.18,7.0
F,0.6,0.43,0.16,0.992,0.4504,0.2011,0.2336,9.8
F,0.54,0.4,0.139,0.46,0.311,0.119,0.18,5.7
F,0.7,0.463,0.15,1.14,0.4848,0.238,0.328,12.8
F,0.55,0.49,0.16,1.08,0.4553,0.2199,0.33,6.8
F,0.556,0.46,0.13,1.1071,0.4707,0.2534,0.269,7.8
F,0.552,0.488,0.17,0.9,0.5241,0.2565,0.277,10.7
F,0.48,0.44,0.174,1.1996,0.4,0.236,0.36,7.5
F,0.695,0.55,0.187,1.885,0.908,0.3196,0.43,12.7
F,0.621,0.38,0.13,1.0229,0.3618,0.175,0.298,8.9
F,0.625,0.53,0.14,1.2708,0.512,0.2701,0.343,10.9
F,0.542,0.46,0.168,0.9358,0.34,0.1737,0.255,12.0
F,0.468,0.48,0.16,0.861,0.3617,0.2013,0.22,6.8
M,0.6,0.35,0.15,1.18,0.432,0.27,0.32,9.9
F,0.37,0.345,0.08,0.33,0.1345,0.06,0.07,6.1
I,0.152,0.113,0.06,0.027,0.005,0.0055,0.01,4.9
F,0.674,0.61,0.16,1.453,0.8491,0.3604,0.41,11.7
F,0.55,0.354,0.157,0.772,0.2545,0.17,0.227,10.6
F,0.5,0.324,0.1,0.333,0.1713,0.065,0.11,4.8
I,0.54,0.353,0.144,0.683,0.32,0.1341,0.16,6.9
I,0.26,0.18,0.05,0.0988,0.045,0.012,0.023,3.1
F,0.571,0.542,0.17,0.786,0.357,0.1416,0.32,10.4
M,0.51,0.466,0.15,1.001,0.4587,0.245,0.37,7.2
F,0.59,0.47,0.16,1.0625,0.3943,0.3053,0.263,9.1
F,0.609,0.5,0.176,1.1295,0.44,0.2943,0.351,15.8
F,0.79,0.509,0.157,1.0272,0.3604,0.2196,0.31,13.6
F,0.61,0.5,0.15,1.071,0.5332,0.273,0.2296,6.6
F,0.6,0.46,0.128,0.944,0.4376,0.175,0.21,5.7
I,0.513,0.49,0.093,0.5173,0.255,0.1698,0.17,7.1
I,0.39,0.33,0.08,0.2815,0.09,0.0485,0.07,5.8
F,0.64,0.45,0.12,1.0767,0.4061,0.1856,0.29,10.1
F,0.68,0.54,0.172,1.41,0.4744,0.29,0.35,9.6
F,0.62,0.505,0.19,0.929,0.42,0.1857,0.2714,7.7
F,0.505,0.49,0.17,0.866,0.438,0.166,0.275,9.2
F,0.747,0.537,0.2,1.476,0.71,0.2489,0.35,8.6
F,0.537,0.43,0.15,1.2568,0.6701,0.2905,0.32,11.0
F,0.609,0.506,0.15,0.7824,0.3376,0.177,0.27,12.5
I,0.335,0.19,0.069,0.103,0.0396,0.0228,0.0272,4.8
F,0.563,0.5,0.154,1.138,0.6014,0.2894,0.4072,8.0
F,0.514,0.41,0.17,0.933,0.5,0.179,0.26,8.5
F,0.631,0.49,0.16,1.182,0.4266,0.261,0.31,15.3
M,0.44,0.36,0.12,0.4454,0.2407,0.1136,0.107,7.9
F,0.48,0.45,0.151,0.832,0.3791,0.187,0.2,8.9
F,0.508,0.422,0.16,0.7905,0.2886,0.1665,0.3,13.7
F,0.568,0.57,0.16,1.054,0.4699,0.2655,0.43,14.8
I,0.48,0.37,0.122,0.527,0.1922,0.0789,0.1,6.1
I,0.25,0.161,0.05,0.0447,0.013,0.0046,0.014,4.8
F,0.814,0.6,0.14,1.471,0.52,0.294,0.297,9.5
I,0.26,0.23,0.066,0.1035,0.0273,0.015,0.039,5.6
F,0.537,0.38,0.18,0.7816,0.39,0.171,0.23,12.2
F,0.622,0.47,0.118,0.833,0.379,0.1708,0.23,9.5
F,0.6,0.58,0.149,1.3221,0.4277,0.2742,0.4,12.5
F,0.6,0.46,0.178,1.1915,0.489,0.222,0.319,5.4
I,0.571,0.5,0.136,0.5302,0.3276,0.1428,0.204,6.2
F,0.55,0.53,0.18,1.3698,0.6815,0.2819,0.434,12.0
F,0.58,0.461,0.15,0.9289,0.4388,0.246,0.2826,6.7
F,0.518,0.37,0.112,0.6546,0.2447,0.1554,0.173,8.2
F,0.67,0.49,0.201,1.3648,0.382,0.2961,0.335,10.5
F,0.55,0.44,0.13,1.1555,0.5781,0.2691,0.337,13.8
F,0.38,0.3,0.1,0.426,0.2442,0.0905,0.12,5.1
F,0.46,0.38,0.124,0.4534,0.1949,0.1209,0.12,6.8
F,0.6,0.45,0.13,1.135,0.424,0.3031,0.35,14.8
