age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
2.1,Private,189018.4,Some-college,9.3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.8,0.0,1.9,United-States,>50K
0.0,Private,181193.8,HS-grad,8.9,Never-married,Priv-house-serv,Not-in-family,White,Female,0.9,0.0,1.9,United-States,<=50K
2.1,Private,166803.8,Some-college,9.2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,1.6,United-States,>50K
2.3,Private,155087.8,Some-college,9.7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.2,0.0,1.9,United-States,>50K
0.0,Private,177438.6,HS-grad,7.3,Never-married,Priv-house-serv,Not-in-family,White,Female,1.1,0.0,2.1,United-States,<=50K
0.0,Private,172384.3,HS-grad,9.2,Never-married,Priv-house-serv,Not-in-family,White,Female,0.9,0.0,1.7,United-States,<=50K
2.3,Private,180658.6,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.2,United-States,>50K
0.0,Private,176392.8,HS-grad,8.3,Never-married,Priv-house-serv,Not-in-family,White,Female,0.8,0.0,2.1,United-States,<=50K
0.0,Private,183265.7,HS-grad,9.6,Never-married,Priv-house-serv,Not-in-family,White,Female,1.1,0.0,1.9,United-States,<=50K
0.0,Private,156980.7,HS-grad,9.8,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,187708.0,HS-grad,7.6,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.3,United-States,<=50K
0.0,Private,169135.3,HS-grad,8.3,Never-married,Priv-house-serv,Not-in-family,White,Female,1.1,0.0,2.1,United-States,<=50K
2.0,Private,200225.9,Some-college,9.2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.9,0.0,2.0,United-States,>50K
0.0,Private,154427.3,HS-grad,8.2,Never-married,Priv-house-serv,Not-in-family,White,Female,0.9,0.0,2.0,United-States,<=50K
0.0,Private,194650.3,HS-grad,9.7,Never-married,Priv-house-serv,Not-in-family,White,Female,0.9,0.0,2.0,United-States,<=50K
1.9,Private,169096.7,Some-college,9.8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.1,0.0,1.9,United-States,>50K
0.0,Private,155053.7,HS-grad,8.8,Never-married,Priv-house-serv,Not-in-family,White,Female,0.8,0.0,1.6,United-States,<=50K
0.0,Private,157832.4,HS-grad,7.2,Never-married,Priv-house-serv,Not-in-family,White,Female,0.7,0.0,2.4,United-States,<=50K
0.0,Private,160544.8,HS-grad,9.6,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
1.7,Private,172848.3,Some-college,8.8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.1,0.0,2.1,United-States,>50K
2.3,Private,174484.4,Some-college,10.1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.1,0.0,2.0,United-States,>50K
0.0,Private,156342.7,HS-grad,9.2,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,1.9,United-States,<=50K
0.0,Private,165454.1,HS-grad,10.2,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
0.0,Private,201389.3,HS-grad,7.8,Never-married,Priv-house-serv,Not-in-family,White,Female,1.1,0.0,1.7,United-States,<=50K
0.0,Private,194510.7,HS-grad,6.3,Never-married,Priv-house-serv,Not-in-family,White,Female,0.8,0.0,2.5,United-States,<=50K
0.0,Private,173094.8,HS-grad,9.2,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,1.8,United-States,<=50K
0.0,Private,166488.3,HS-grad,10.6,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,1.8,United-States,<=50K
0.0,Private,167848.8,HS-grad,10.1,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,1.9,United-States,<=50K
1.9,Private,175988.0,Some-college,10.2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.9,0.0,2.3,United-States,>50K
0.0,Private,148894.2,HS-grad,8.6,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.0,United-States,<=50K
1.9,Private,161547.3,Some-college,10.8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.8,0.0,1.8,United-States,>50K
0.0,Private,138183.2,HS-grad,8.1,Never-married,Priv-house-serv,Not-in-family,White,Female,0.9,0.0,2.3,United-States,<=50K
2.0,Private,172434.7,Some-college,10.5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.1,United-States,>50K
1.8,Private,176546.5,Some-college,10.5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.9,0.0,2.1,United-States,>50K
0.0,Private,157844.0,HS-grad,10.0,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.1,United-States,<=50K
0.0,Private,191963.8,HS-grad,11.5,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.5,United-States,<=50K
0.0,Private,145527.7,HS-grad,9.4,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,2.4,United-States,<=50K
0.0,Private,141570.2,HS-grad,8.5,Never-married,Priv-house-serv,Not-in-family,White,Female,1.0,0.0,1.9,United-States,<=50K
0.0,Private,169580.7,HS-grad,9.0,Never-married,Priv-house-serv,Not-in-family,White,Female,0.9,0.0,2.3,United-States,<=50K
2.0,Private,183177.5,Some-college,8.2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0,0.0,2.1,United-States,>50K
