MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
6.6,32.4,5.4,0.530920248759851,608.5,2.366188701296039,24.47,-141.44,1.132
3.172,41.9,6.551135241644482,0.8269238469083282,712.4,3.89757251053644,28.68,-65.62,0.9
6.9259,33.5,5.209605454001594,0.90955523958201,656.9,2.74525333670794,29.0,-143.25,3.964
8.0201,20.1,5.884,1.49,1520.7,4.1,32.75,-115.42,3.045
5.6786,41.1,3.653727488054154,1.1506447284176158,522.7,2.8086233187578538,37.03,-143.79,3.23
1.4,46.1,4.9918512899036,0.7164057894996926,840.4,3.2981649850347,45.92,-141.17,0.71
8.4179,51.4,6.6745,1.140200890226981,188.2,3.322754,34.43,-171.34,2.14
6.6,19.7,5.361753375115757,0.67215852350081,611.7,5.4571757133974,24.52,-155.44,3.829
4.982,65.6,7.9671226764616,1.289776884544317,457.4,2.92457440354567,48.89,-163.7,2.049
6.4083,16.5,7.628379958617368,0.89262783360869,858.3,2.54913059901244,30.4,-165.04,2.902
3.1,25.3,2.62442682793053,0.998566856265635,554.1,6.3529017598158,37.12,-131.08,1.784
2.36,33.6,5.43502039654326,1.34956112469462,583.7,4.64650264558907,41.9,-119.13,0.83
5.7815,28.9,3.10032610590524,0.6850597049029672,528.4,3.2697907084143982,35.37,-144.22,1.886
2.6,18.2,5.920266221594033,0.7007658611536981,762.1,2.3999,47.68,-140.12,1.467
2.8,45.9,9.049167506851912,0.866954807311843,676.4,2.85769928907151,42.2,-108.17,1.788
1.7571,19.9,6.4,1.3,1433.3,2.2,29.78,-133.68,0.99
3.811,17.6,6.291624288733526,0.6299106791585227,1408.5,1.2,58.67,-121.14,2.629
1.8212,21.1,3.27735007643037,0.31442283160522,682.1,6.902610318856229,35.56,-95.19,1.323
7.6655,38.6,8.89042955722889,0.95153474572759,686.0,5.187511926298515,32.66,-156.51,3.139
1.8869,26.5,3.151846665875618,1.1556887644538303,1650.8,3.2925241238386525,49.58,-123.66,1.638
7.9333,36.2,6.467185614070706,1.39541787166327,1041.2,4.57675003644467,40.0,-185.14,1.559
6.2862,37.7,6.98064298967181,0.90853155423004,443.1,1.77336650246411,42.47,-72.34,1.875
3.9955,43.7,10.3349634190042,0.91064580871443,592.9,3.216825966181616,55.25,-101.81,1.929
4.3526,36.9,4.997498251320068,1.31871850250866,852.7,1.79345872176195,31.7,-119.24,3.139
0.9055,48.7,1.11952524080183,0.57287529715451,2144.8,7.8433762082886,34.94,-157.19,0.121
3.5253,35.5,8.304318443687738,0.9689032471874048,717.0,2.03222194795027,39.08,-133.4,1.853
4.66,16.2,9.754526303574085,1.13001764231645,898.9,1.9,42.99,-126.31,1.005
5.5,33.0,8.862564143374458,1.1,666.7,2.274278841642022,21.18,-87.75,2.29
3.8375,20.8,4.4790817530984,0.939711876412511,786.6,4.740134024433992,18.1,-83.72,1.338
1.4347,27.5,4.15493240692591,1.111012222346577,745.5,2.55241062215129,29.14,-127.76,0.59
5.5,18.7,9.1813613756077,0.395185292976322,3274.7,1.771832239897067,20.07,-78.0,1.44
9.1906,18.7,5.07821145020176,0.90170846983018,444.4,3.63257937349,29.45,-102.06,3.854
3.5982,26.4,5.11185077462545,1.12462341226123,552.0,6.1910188660667,42.67,-131.5,2.008
3.8297,27.9,7.652478500634887,0.770124658834,840.2,4.985976205775286,29.39,-93.0,2.549
7.8,28.1,8.065,1.08239579242388,2225.5,2.986631686074866,25.33,-172.2,3.2
3.1,72.5,11.34231191823167,1.131972862739671,696.4,7.97981239304622,34.71,-154.08,1.926
4.9105,13.2,7.431612873762055,1.0759610675943265,551.1,6.772468897978788,45.54,-74.21,1.187
2.0,22.8,5.387804873241,1.11740592603855,544.1,3.7418001550755,23.3,-91.47,0.719
1.6243,25.3,5.934168236516865,0.8,766.7,3.721417304075572,46.62,-52.22,1.266
6.0911,55.5,3.566661728824998,0.99330813117556,514.1,5.02130842563049,46.57,-98.48,5.668
7.4414,35.5,5.61436459983765,1.169955890960233,827.3,3.019393192163556,42.0,-141.0,2.52
2.9426,16.8,3.874847915507676,1.0497406467092,1314.2,2.0,52.81,-104.31,0.789
2.99,38.1,3.664631860045132,0.915200012023423,540.6,3.24726778092796,58.5,-136.85,0.398
5.1113,18.8,4.9136199319065,1.06793,1264.1,3.6,34.31,-75.64,3.429
2.5395,16.3,4.99505986347161,1.263249187102433,642.4,5.36201880347916,35.12,-141.85,3.729
2.26,19.5,5.30393303285157,0.492439071066294,695.5,3.7866319537563142,30.57,-101.56,0.854
5.0109,27.9,6.540008301023031,1.3100547343156725,823.8,2.05311213498771,34.14,-122.35,3.137
1.9207,26.7,4.302802112367924,0.9633309311129604,1156.8,3.243247029817124,46.93,-115.66,0.734
5.4604,60.2,6.0,1.089456220575829,547.3,5.83077767455354,22.55,-79.87,1.037
3.0885,33.6,5.961019766414863,1.3124360918296,608.5,2.846978760542053,30.97,-87.24,4.658
2.7206,27.0,8.19534411039693,0.6707541822168,572.5,5.904152366226,53.02,-152.2,0.377
1.5077,17.6,2.9682116126981954,0.881056229695363,930.3,4.713762589929,42.73,-128.7,0.4
4.6,49.4,5.45840973451,0.995906099940019,888.7,1.9899276063116,30.96,-152.74,0.842
3.7119,25.6,5.887682406436302,0.8,682.7,2.352,46.8,-131.74,0.964
1.3062,27.6,4.14904368782205,1.538641520346461,442.6,3.1682021595804,36.85,-122.2,1.66
3.7,37.4,4.508684944154741,0.846272534291007,1314.5,3.350945964740056,56.3,-69.49,1.729
5.1,36.8,4.340121290750828,0.927131991854784,1793.0,2.9,34.68,-108.5,1.184
5.517,31.0,8.389976306195411,1.127362010176225,1781.7,3.65273851551189,42.78,-119.61,2.46
7.0496,20.4,8.207457301703357,0.74849565456439,844.8,2.59382763367292,66.3,-174.44,2.643
7.5,14.5,6.99431947671312,0.931270261861173,1517.4,1.943811180084,39.0,-138.72,2.153
3.4524,52.5,7.876584317358601,1.10925918880703,618.7,2.76644320029029,36.91,-166.05,1.44
5.634,8.3,6.5596400815692,0.984015791490692,669.7,5.719833367086558,40.27,-134.45,3.23
