MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
5.9,24.0,6.5,1.0,776.0,2.6,33.9,-118.2,1.1
3.3,34.0,6.8,1.1,718.0,4.4,34.0,-118.1,1.0
6.0,33.0,6.5,1.0,654.0,5.0,37.9,-121.5,4.1
5.8,24.0,6.4,1.0,1360.0,4.5,38.0,-122.6,2.6
6.0,35.0,6.9,1.0,794.0,2.4,39.1,-122.2,2.4
1.5,42.0,4.7,1.1,732.0,4.8,38.0,-118.2,0.6
6.0,42.0,6.7,1.0,581.0,2.6,37.4,-122.2,2.1
5.5,17.0,6.7,1.1,726.0,4.9,40.6,-116.1,2.8
5.6,52.0,6.8,1.0,521.0,3.6,38.0,-122.5,2.2
5.6,19.0,6.2,1.0,741.0,2.6,38.4,-121.3,2.3
3.5,19.0,4.4,1.0,551.0,4.5,37.7,-122.2,1.9
2.7,32.0,6.7,1.0,900.0,3.9,37.7,-118.2,0.8
5.5,19.0,3.8,1.0,701.0,3.3,33.7,-118.4,1.9
5.0,22.0,7.7,1.1,726.0,2.6,37.4,-118.4,1.5
5.0,32.0,7.5,1.0,690.0,2.8,37.7,-117.2,2.0
2.0,19.0,6.7,1.0,1676.0,2.5,38.0,-121.4,0.7
5.1,21.0,6.7,1.0,1601.0,2.5,38.0,-122.2,3.2
1.7,24.0,6.6,1.1,581.0,4.6,33.9,-121.0,1.6
9.9,42.0,7.7,1.1,788.0,5.0,33.9,-118.3,2.1
2.9,24.0,4.6,1.0,1688.0,3.0,40.0,-122.0,1.3
5.8,32.0,6.4,1.1,675.0,4.6,37.6,-122.4,3.9
6.7,44.0,6.5,1.0,688.0,2.2,38.6,-121.9,2.2
3.9,44.0,7.7,1.0,1104.0,3.4,34.0,-118.3,3.5
6.8,24.0,7.4,1.0,713.0,3.0,34.0,-118.3,4.1
1.0,34.0,4.6,1.1,2583.0,5.0,38.0,-122.4,0.6
3.4,32.0,7.9,1.1,779.0,2.9,38.0,-121.3,1.9
6.5,16.0,6.7,1.1,1117.0,2.5,33.9,-117.2,1.4
5.0,32.0,6.8,1.0,713.0,2.6,34.0,-122.2,2.3
4.5,18.0,4.3,1.1,562.0,3.6,35.5,-117.8,2.3
1.5,37.0,4.7,1.1,621.0,2.5,34.2,-118.2,0.6
6.5,20.0,7.6,1.0,2694.0,2.6,33.9,-118.3,1.6
6.3,32.0,6.7,1.1,688.0,2.8,33.0,-117.7,2.8
3.6,24.0,4.6,1.0,775.0,5.2,37.9,-116.9,1.5
5.2,24.0,6.8,1.0,2895.0,4.4,37.8,-123.3,2.1
6.5,32.0,6.4,1.1,2790.0,2.5,39.4,-122.9,3.5
4.5,52.0,6.7,1.0,562.0,5.0,34.1,-118.0,1.3
4.7,19.0,6.8,1.2,488.0,4.4,37.5,-122.2,1.9
4.0,36.0,6.2,1.1,576.0,4.5,40.4,-119.3,1.1
2.4,24.0,6.0,1.0,771.0,2.6,38.7,-121.8,1.3
5.8,44.0,6.4,1.0,621.0,4.6,38.7,-122.4,3.6
6.3,25.0,6.8,1.0,787.0,2.7,33.9,-118.3,2.6
2.8,19.0,4.3,1.0,1103.0,3.5,40.5,-116.4,0.8
3.1,30.0,4.2,1.1,907.0,3.4,37.7,-122.7,0.6
5.5,19.0,4.7,1.0,1176.0,4.5,37.7,-122.1,2.8
4.0,17.0,6.3,1.1,521.0,4.4,34.2,-118.3,3.0
2.8,16.0,4.1,1.0,776.0,3.0,34.1,-117.9,0.7
5.7,24.0,6.5,1.0,701.0,4.3,34.1,-122.0,3.7
1.5,44.0,4.3,1.1,679.0,3.3,33.9,-118.4,0.9
5.0,44.0,6.5,1.0,562.0,4.6,34.0,-117.1,1.5
