MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.47
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.99
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.98
5.65,36.0,5.66,0.99,715.0,4.64,34.08,-117.37,4.36
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.32
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.11
6.65,36.0,5.66,0.99,715.0,4.64,34.08,-117.37,5.0
3.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,2.36
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.83
3.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,2.24
3.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,2.12
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.25
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.56
5.65,36.0,5.66,0.99,715.0,4.64,34.08,-117.37,4.67
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.53
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.79
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.82
2.65,36.0,4.66,1.0,715.0,4.61,37.76,-121.37,1.51
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.19
4.65,36.0,5.66,0.99,715.0,4.64,34.08,-117.37,3.55
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,0.49
4.65,36.0,5.66,1.0,715.0,4.61,34.08,-121.37,3.52
3.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,2.09
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.53
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.25
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-121.37,1.82
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.7
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.42
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,0.95
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.1
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,0.68
4.65,36.0,5.66,1.0,715.0,4.61,34.08,-121.37,3.29
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,0.67
3.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,2.81
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.19
4.65,36.0,5.66,0.99,715.0,4.64,34.08,-121.37,3.86
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.51
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.29
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.6
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.84
3.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,2.58
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.97
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,0.65
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.0
4.65,36.0,5.66,0.99,715.0,4.64,34.08,-121.37,3.33
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.25
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.47
4.65,36.0,5.66,0.99,715.0,4.64,34.08,-121.37,3.04
6.65,36.0,5.66,0.99,715.0,4.64,34.08,-117.37,5.0
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.88
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.6
2.65,36.0,4.66,1.0,715.0,4.61,37.76,-121.37,0.62
3.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,2.3
3.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,2.48
4.65,36.0,5.66,1.0,715.0,4.61,34.08,-121.37,3.38
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.36
5.65,36.0,5.66,1.0,715.0,4.61,34.08,-121.37,4.1
3.65,36.0,4.66,0.99,715.0,4.64,34.08,-121.37,2.33
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.98
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-117.37,1.57
2.65,36.0,4.66,1.0,715.0,4.61,34.08,-121.37,1.35
2.65,36.0,4.66,0.99,715.0,4.64,34.08,-121.37,1.73
