Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.5,0.3,0.119,0.705,0.2947,0.1188,0.199,6.2
F,0.7,0.47,0.14,1.301,0.663,0.242,0.23,7.6
F,0.575,0.5,0.13,0.481,0.3272,0.1195,0.208,8.2
F,0.656,0.55,0.153,1.3222,0.411,0.254,0.438,14.7
F,0.542,0.6,0.16,1.5067,0.597,0.3477,0.294,8.3
F,0.426,0.4,0.153,0.8217,0.2692,0.1139,0.228,6.6
F,0.448,0.499,0.132,1.0797,0.395,0.189,0.278,9.2
F,0.75,0.58,0.2,1.04,0.6265,0.3469,0.279,6.8
F,0.625,0.398,0.12,1.2158,0.627,0.2149,0.33,9.6
F,0.558,0.39,0.134,0.5226,0.2425,0.173,0.162,8.5
I,0.19,0.151,0.05,0.0661,0.0265,0.0104,0.0121,4.4
M,0.685,0.56,0.105,0.8174,0.4044,0.2433,0.2521,8.1
F,0.647,0.56,0.211,1.032,0.4246,0.246,0.415,8.9
M,0.3,0.26,0.09,0.3275,0.139,0.0795,0.1,5.1
F,0.5,0.51,0.15,1.0431,0.4545,0.167,0.269,9.0
F,0.484,0.56,0.15,0.8194,0.38,0.149,0.275,9.5
F,0.564,0.41,0.162,1.4395,0.661,0.2162,0.26,9.6
I,0.511,0.408,0.162,0.6318,0.2953,0.1143,0.245,7.9
F,0.604,0.598,0.133,0.952,0.4138,0.284,0.343,11.1
F,0.587,0.395,0.189,1.455,0.5713,0.3448,0.2,10.1
F,0.702,0.59,0.216,1.255,0.5997,0.3202,0.379,12.3
F,0.414,0.34,0.139,0.6538,0.304,0.1214,0.204,8.1
F,0.56,0.59,0.18,1.3588,0.5621,0.3158,0.42,11.1
F,0.471,0.5,0.105,0.595,0.2844,0.1615,0.18,10.3
F,0.6,0.6,0.14,0.8277,0.411,0.312,0.25,10.5
F,0.66,0.43,0.14,0.9093,0.4492,0.2387,0.242,11.0
I,0.276,0.3,0.1,0.2976,0.1124,0.0462,0.0718,3.9
F,0.579,0.533,0.2,1.1399,0.354,0.1984,0.26,14.9
F,0.48,0.32,0.119,0.441,0.1975,0.113,0.14,6.6
F,0.491,0.57,0.188,1.475,0.6367,0.2379,0.299,9.1
F,0.606,0.37,0.13,0.9119,0.4956,0.2006,0.291,10.8
F,0.464,0.46,0.15,0.8052,0.3785,0.191,0.214,7.1
M,0.426,0.38,0.133,0.9617,0.3,0.185,0.26,7.3
I,0.32,0.15,0.093,0.0757,0.0679,0.027,0.03,3.1
F,0.65,0.32,0.142,0.574,0.2356,0.1187,0.219,9.7
F,0.594,0.4,0.125,0.6026,0.3191,0.116,0.152,7.0
F,0.4,0.299,0.1,0.3627,0.2149,0.065,0.09,5.3
F,0.483,0.55,0.12,1.407,0.488,0.324,0.37,12.7
F,0.683,0.38,0.151,1.06,0.7088,0.3258,0.272,8.2
F,0.55,0.42,0.14,0.9675,0.4722,0.256,0.27,10.8
F,0.41,0.39,0.15,0.5655,0.3354,0.1397,0.183,11.4
F,0.574,0.521,0.15,1.249,0.4433,0.2683,0.216,10.4
F,0.426,0.4,0.137,0.72,0.3783,0.14,0.246,9.7
M,0.753,0.52,0.12,1.04,0.488,0.2768,0.243,8.3
F,0.594,0.64,0.2,2.0,0.6923,0.407,0.479,15.8
F,0.622,0.49,0.17,1.2109,0.4438,0.283,0.378,9.4
F,0.566,0.42,0.137,1.1955,0.4809,0.292,0.29,12.3
F,0.682,0.42,0.2,1.465,0.697,0.3576,0.446,8.4
F,0.58,0.52,0.15,0.86,0.5412,0.216,0.295,6.8
