age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
2.0,Mun-gov,175232.0,HS-grd,9.0,Legally married,Protective Services,Husband,White,M,0.0,0.0,3.0,USA,<=50K
3.0,Mun-gov,187847.0,Some-coll,10.0,Legally married,Protective Services,Husband,White,M,2.0,0.0,3.0,USA,>50K
0.0,Priv-sect,114939.0,Grade-11,7.0,Single,Sales,Own-child,White,F,0.0,0.0,1.0,USA,<=50K
0.0,Priv-sect,165586.0,Grade-10,6.0,Legally married,Craft & Repair,Husband,White,M,0.0,0.0,2.0,USA,<=50K
2.0,Priv-sect,187581.0,Bach,13.0,Legally married,Craft & Repair,Husband,White,M,0.0,3.0,2.0,USA,>50K
1.0,Priv-sect,187847.0,Bach,13.0,Legally married,Admin Clerical,Husband,White,M,3.0,0.0,2.0,USA,>50K
2.0,Priv-sect,187830.0,HS-grd,9.0,Legally separated,Craft & Repair,Not-in-family,White,M,0.0,0.0,2.0,USA,<=50K
2.0,Mun-gov,196307.0,Bach,13.0,Legally married,Protective Services,Husband,White,M,4.0,0.0,3.0,USA,>50K
3.0,Mun-gov,160187.0,Grade-11,7.0,Legally married,Other Services,Wife,Black,F,0.0,0.0,2.0,USA,>50K
2.0,Mun-gov,181628.0,Bach,13.0,Legally married,Professional Specialty,Wife,White,F,4.0,0.0,2.0,USA,>50K
0.0,Mun-gov,340428.0,HS-grd,9.0,Single,Admin Clerical,Own-child,White,F,0.0,0.0,2.0,USA,<=50K
4.0,Mun-gov,182836.0,HS-grd,9.0,Lost spouse,Admin Clerical,Not-in-family,White,F,0.0,0.0,1.0,USA,<=50K
2.0,Priv-sect,174102.0,HS-grd,9.0,Legally married,Craft & Repair,Husband,White,M,0.0,2.0,3.0,USA,>50K
1.0,Priv-sect,196266.0,Bach,13.0,Legally married,Craft & Repair,Husband,White,M,3.0,0.0,2.0,USA,>50K
2.0,Mun-gov,175339.0,Bach,13.0,Legally married,Protective Services,Husband,White,M,0.0,0.0,2.0,USA,>50K
