age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
2.0,Local-gov,175232.0,HS-grad,9.0,Legally married,Protective Services,Husband,White,M,0.0,0.0,3.0,USA,<=50K
3.0,Local-gov,187847.0,Some-college,10.0,Legally married,Protective Services,Husband,White,M,2.0,0.0,3.0,USA,>50K
0.0,Private,114939.0,11th,7.0,Single,Sales,Own-child,White,F,0.0,0.0,1.0,USA,<=50K
0.0,Private,165586.0,10th,6.0,Legally married,Craft & Repair,Husband,White,M,0.0,0.0,2.0,USA,<=50K
2.0,Private,187581.0,Bachelors,13.0,Legally married,Craft & Repair,Husband,White,M,0.0,3.0,2.0,USA,>50K
1.0,Private,187847.0,Bachelors,13.0,Legally married,Admin Clerical,Husband,White,M,3.0,0.0,2.0,USA,>50K
2.0,Private,187830.0,HS-grad,9.0,Legally separated,Craft & Repair,Not-in-family,White,M,0.0,0.0,2.0,USA,<=50K
2.0,Local-gov,196307.0,Bachelors,13.0,Legally married,Protective Services,Husband,White,M,4.0,0.0,3.0,USA,>50K
3.0,Local-gov,160187.0,11th,7.0,Legally married,Other Services,Wife,Black,F,0.0,0.0,2.0,USA,>50K
2.0,Local-gov,181628.0,Bachelors,13.0,Legally married,Professional Specialty,Wife,White,F,4.0,0.0,2.0,USA,>50K
0.0,Local-gov,340428.0,HS-grad,9.0,Single,Admin Clerical,Own-child,White,F,0.0,0.0,2.0,USA,<=50K
4.0,Local-gov,182836.0,HS-grad,9.0,Lost spouse,Admin Clerical,Not-in-family,White,F,0.0,0.0,1.0,USA,<=50K
2.0,Private,174102.0,HS-grad,9.0,Legally married,Craft & Repair,Husband,White,M,0.0,2.0,3.0,USA,>50K
1.0,Private,196266.0,Bachelors,13.0,Legally married,Craft & Repair,Husband,White,M,3.0,0.0,2.0,USA,>50K
2.0,Local-gov,175339.0,Bachelors,13.0,Legally married,Protective Services,Husband,White,M,0.0,0.0,2.0,USA,>50K
2.0,Private,160910.0,HS-grad,9.0,Legally separated,Craft & Repair,Not-in-family,White,F,4.0,0.0,3.0,USA,>50K
1.0,Private,342599.0,11th,7.0,Single,Craft & Repair,Not-in-family,White,M,0.0,0.0,2.0,USA,<=50K
0.0,Private,340171.0,Bachelors,13.0,Single,Admin Clerical,Own-child,White,F,0.0,0.0,2.0,USA,<=50K
0.0,Private,191782.0,Bachelors,13.0,Single,Admin Clerical,Other-relative,Black,F,0.0,0.0,2.0,Jamaica,<=50K
0.0,Private,183945.0,Bachelors,13.0,Single,Admin Clerical,Own-child,White,F,0.0,0.0,2.0,USA,<=50K
1.0,Private,114639.0,HS-grad,9.0,Legally married,Craft & Repair,Husband,White,M,2.0,0.0,2.0,USA,>50K
0.0,Private,117595.0,Bachelors,13.0,Legally married,Sales,Husband,White,M,0.0,0.0,4.0,USA,<=50K
0.0,Private,149787.0,Bachelors,13.0,Legally married,Other Services,Wife,White,F,0.0,0.0,2.0,USA,<=50K
0.0,Private,182771.0,Bachelors,13.0,Single,Craft & Repair,Own-child,White,M,0.0,0.0,3.0,USA,<=50K
0.0,Federal-gov,177945.0,Some-college,10.0,Single,Admin Clerical,Not-in-family,White,F,0.0,0.0,2.0,USA,<=50K
3.0,Local-gov,185399.0,11th,7.0,Legally separated,Other Services,Unmarried,White,F,0.0,0.0,2.0,USA,<=50K
0.0,Private,181553.0,Bachelors,13.0,Legally married,Craft & Repair,Husband,Other,M,0.0,0.0,2.0,USA,<=50K
0.0,Private,404599.0,Some-college,10.0,Legally separated,Admin Clerical,Other-relative,White,F,0.0,0.0,2.0,USA,<=50K
0.0,Local-gov,181553.0,Bachelors,13.0,Single,Protective Services,Own-child,Black,M,0.0,0.0,1.0,USA,<=50K
4.0,Private,167527.0,HS-grad,9.0,Lost spouse,Sales,Other-relative,White,F,0.0,0.0,1.0,USA,<=50K
0.0,Private,154978.0,9th,5.0,Legally married,Other Services,Husband,White,M,0.0,2.0,2.0,USA,<=50K
0.0,Private,270147.0,HS-grad,9.0,Legally married,Admin Clerical,Wife,White,F,0.0,0.0,2.0,USA,<=50K
0.0,Self-emp-not-inc,182828.0,HS-grad,9.0,Single,Craft & Repair,Not-in-family,White,F,0.0,0.0,2.0,USA,<=50K
0.0,Local-gov,168071.0,Some-college,10.0,Single,Admin Clerical,Own-child,White,F,0.0,0.0,1.0,USA,<=50K
0.0,Private,181578.0,10th,6.0,Single,Other Services,Own-child,White,F,0.0,0.0,2.0,USA,<=50K
2.0,Private,182556.0,Bachelors,13.0,Single,Craft & Repair,Not-in-family,White,M,4.0,0.0,2.0,USA,>50K
0.0,Private,187847.0,Some-college,10.0,Single,Craft & Repair,Own-child,White,M,0.0,0.0,2.0,USA,<=50K
0.0,Local-gov,113080.0,Some-college,10.0,Single,Craft & Repair,Own-child,White,M,0.0,0.0,2.0,USA,<=50K
0.0,,378747.0,Some-college,10.0,Single,,Own-child,White,F,0.0,0.0,1.0,USA,<=50K
3.0,Local-gov,164530.0,HS-grad,9.0,Legally separated,Admin Clerical,Other-relative,White,F,0.0,0.0,2.0,USA,<=50K
0.0,Private,184901.0,11th,7.0,Legally married,Other Services,Other-relative,White,F,0.0,0.0,1.0,USA,<=50K
0.0,Private,119522.0,HS-grad,9.0,Legally married,Craft & Repair,Husband,White,M,0.0,0.0,2.0,USA,<=50K
3.0,Federal-gov,247507.0,Bachelors,13.0,Legally married,Admin Clerical,Husband,White,M,0.0,0.0,2.0,USA,<=50K
0.0,Private,325217.0,11th,7.0,Legally married,Craft & Repair,Husband,White,M,0.0,0.0,2.0,USA,<=50K
4.0,Private,274672.0,HS-grad,9.0,Lost spouse,Admin Clerical,Not-in-family,White,F,0.0,0.0,2.0,USA,<=50K
0.0,Private,180190.0,HS-grad,9.0,Legally married,Craft & Repair,Husband,White,M,0.0,0.0,2.0,USA,<=50K
4.0,Private,168224.0,Bachelors,13.0,Legally married,Tech Support,Husband,White,M,4.0,0.0,3.0,USA,>50K
0.0,Private,183778.0,HS-grad,9.0,Single,Admin Clerical,Own-child,White,F,0.0,0.0,1.0,USA,<=50K
2.0,Local-gov,101761.0,Some-college,10.0,Legally married,Admin Clerical,Wife,White,F,0.0,0.0,2.0,USA,<=50K
