MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.7194,8.0,5.48233566932589,1.06704922981469,642.0,3.27147823356694,34.41,-122.34,2.575
3.5194,25.0,2.7444444444444445,1.005050505050505,681.0,3.5,33.96,-122.39,2.586
3.5271,39.0,5.3833333333333,1.026666666666666,689.0,2.833333333333333,38.67,-118.13,0.993
2.5,21.0,4.48295817448901,1.03910168373868,945.0,2.983788339923397,38.9,-118.24,0.95
3.3329,29.0,6.846464646464647,0.9898989898989898,661.0,3.636363636363637,38.51,-119.31,2.174
1.9,28.0,3.826171914582075,1.08252867794957,893.0,2.04874548252867,32.75,-118.35,1.641
4.0532,32.0,4.389536987651604,1.0794210526315788,888.0,2.82300684700689,34.01,-117.25,1.236
5.0194,14.0,6.0825,1.074,791.0,3.04,36.82,-117.96,3.625
2.0175,11.0,6.938,1.0,724.0,2.78,37.67,-119.04,1.17
3.8188,26.0,3.72731578947368,1.04265523852385,1176.0,2.55238523852385,37.62,-122.0,1.577
2.7094,24.0,5.068686868686869,1.0069230777067,743.0,2.3628006923077,38.34,-121.75,0.928
1.2167,36.0,4.5,1.07,1015.0,2.8,37.39,-118.19,1.491
5.6125,15.0,6.306888230769231,1.079641006521774,965.0,3.3068882307692307,34.17,-122.34,1.641
1.6103,13.0,5.45131548473789,1.0,721.0,2.5,33.86,-118.24,0.938
6.7524,13.0,6.35245946194617,1.0782370588235295,1026.0,2.947178024594619,33.85,-117.26,3.3
3.6469,14.0,4.59142857142858,1.0,1533.0,2.69123048981628,37.94,-122.11,2.246
2.6491,36.0,4.0609609609609,1.02727272727273,2621.0,2.766666666666765,34.07,-117.82,1.693
3.6085,30.0,6.0,1.01,796.0,3.25,37.97,-121.2,0.941
4.0409,36.0,6.24152857142857,0.979142857142857,1256.0,3.83333333333333,37.53,-121.97,2.736
5.1325,18.0,4.833333333333333,1.08833333333334,852.0,2.95337058823529,33.97,-118.35,1.104
3.0,16.0,5.484848484848484,1.094848484848485,1203.0,2.73939393939394,34.26,-122.03,1.033
3.5271,18.0,4.539773977397739,1.0584210528571427,688.0,2.97709330996985,33.84,-117.02,3.344
2.8519,26.0,3.8,1.09,1086.0,3.05,34.06,-122.36,2.772
4.3939,20.0,6.734970180784903,1.05163857142857,1623.0,2.974451348451348,37.78,-121.43,1.946
4.2572,35.0,4.25,1.0246666666666664,688.0,2.946166666666666,37.81,-122.12,1.718
2.5287,52.0,5.9887926369913,1.0,823.0,2.547340113944525,33.82,-118.44,0.503
3.6179,15.0,5.59233778704974,1.095539078389522,1156.0,1.947684438952222,36.57,-121.81,2.22
3.5907,21.0,5.27582906970185,1.03806545381187,838.0,2.8275829069701,33.89,-117.35,2.379
5.0299,20.0,6.88,1.0575,571.0,3.073333333333,33.89,-118.1,1.526
5.6033,17.0,7.8170781707817,0.98158815881588,838.0,2.88158815881588,34.15,-118.23,1.577
3.8227,34.0,6.838383838383839,0.9822222222222222,579.0,4.23887739887739,34.23,-117.96,2.81
1.9667,33.0,5.70942355142356,1.0,567.0,3.610516666666667,34.23,-121.9,0.874
4.6583,18.0,6.4,0.99,1030.0,3.0,33.94,-119.96,2.431
3.0348,23.0,3.9444444444444446,1.057676363636362,895.0,3.947004948004948,37.82,-118.11,1.794
2.5226,49.0,5.78170724357736,1.0979369947393747,865.0,2.63470588235294,33.74,-119.32,1.441
2.0955,38.0,3.83333333333333,1.0166666666666666,1523.0,2.9816666666666665,38.0,-121.3,0.948
5.2987,15.0,6.6425,1.01186726981258,562.0,2.845669526981258,37.82,-119.37,4.143
2.6572,31.0,4.43668095353384,1.0563837607629,965.0,1.91868943417087,34.06,-117.91,0.813
4.0658,10.0,5.79441858369533,0.9923451069551144,1343.0,2.45152269551143,37.99,-121.43,2.933
3.1788,10.0,6.08551549683798,1.0875,541.0,2.964016935140955,33.89,-117.2,2.325
1.0906,39.0,5.969784615384615,1.012857142857143,1379.0,2.969784615384616,38.06,-118.17,0.937
5.1556,40.0,5.988,1.0825,685.0,2.926,37.65,-122.04,5.00001
4.0737,17.0,3.7887717182895,1.07887717182895,1846.0,3.542105263157895,33.82,-117.98,2.907
3.8087,16.0,6.29,1.09,1038.0,3.4,33.75,-117.07,3.462
3.8862,35.0,4.734354523155316,1.052815781578164,2137.0,2.9670120947523,37.62,-122.19,3.337
4.0368,13.0,4.79462417203845,1.01453845287847,691.0,2.534005567014537,37.74,-122.03,3.8
1.3843,45.0,6.29333333333333,1.04333333333333,1238.0,3.6666666666666665,33.99,-117.44,0.872
5.1404,9.0,6.636607846152463,0.965784615246313,1540.0,2.744754330386623,37.76,-122.21,3.754
3.5196,21.0,4.98989898989898,1.090909090909093,2079.0,2.4526363636363637,37.75,-118.21,1.35
3.0155,3.0,3.777777777777778,1.059079079079079,938.0,3.090590790790791,34.21,-116.29,1.736
3.5272,26.0,5.79153678153678,1.09331167441498,898.0,2.80441498551498,37.32,-117.32,2.5
1.9827,26.0,4.47285714285714,1.1339393939393938,1083.0,2.71166216216216,34.06,-117.98,0.723
5.0644,17.0,4.52483615132548,0.966965141774019,1568.0,2.9877356600229876,37.67,-122.34,5.00001
2.9926,14.0,4.844784538461537,1.0384615384615385,722.0,2.48397977804976,37.72,-121.78,1.126
2.8,24.0,4.35452445244523,1.072857142857143,1601.0,2.979481565183469,37.94,-122.03,3.0
6.6958,33.0,5.854193817227617,1.0,1138.0,3.734683917227616,34.02,-118.44,5.00001
4.6156,26.0,5.879797979797979,0.9815981598159815,2215.0,3.32292292292222,33.89,-117.83,1.557
2.8095,15.0,4.7691550256814,1.07990539552278,1332.0,2.67485901552278,33.83,-118.23,1.578
3.0644,39.0,5.39671559461175,1.14682413786616,1094.0,2.68074726126824,33.92,-117.23,1.952
2.5519,11.0,5.814141414141414,1.0976923076923077,1161.0,2.7815781578157814,37.62,-121.95,2.25
7.0175,30.0,6.065120149590149,1.0537160149590148,1017.0,2.83716014959016,33.83,-118.34,2.5
3.5233,43.0,5.7225023885536,1.10394822502388,636.0,3.09778855361786,33.79,-117.28,2.607
4.2619,27.0,4.46666666666666,1.116666666666667,749.0,3.4575,32.84,-117.08,2.086
2.7935,23.0,5.766,1.15,1270.0,3.96575,33.77,-117.29,1.16
2.9234,52.0,4.25,0.9474545454545454,872.0,2.955555555555556,32.76,-118.32,2.277
3.9444,52.0,5.26,1.0225,461.0,2.895,34.08,-122.38,1.246
2.5,36.0,3.896464255864256,1.0869216586921657,1412.0,2.9583909090909093,34.06,-118.35,2.431
3.5,21.0,4.888888888888889,1.0124242424242424,647.0,2.997979797979798,34.08,-117.79,0.994
4.2786,17.0,4.8,1.0,1082.0,2.8,33.96,-118.23,2.01
2.5222,36.0,3.606860686068603,1.06720050348916,1154.0,2.868606860686068,33.86,-117.79,2.672
6.8688,48.0,7.636373637363737,1.01962424242425,1366.0,2.95242424242425,38.46,-121.24,0.817
2.8286,21.0,4.36354717808974,0.994501255919081,1683.0,2.69178089746068,37.87,-122.03,0.605
2.3584,24.0,4.6,1.002957142857143,1536.0,2.928571428571429,33.79,-118.24,1.037
2.5156,37.0,4.45,1.08,1334.0,2.75,33.95,-117.97,2.864
1.5194,35.0,4.436842105263302,1.0724894512421053,427.0,2.764805566124067,37.66,-121.96,1.543
5.6188,10.0,4.0707070707707,1.010909090909094,1482.0,3.070707070707,34.03,-118.26,2.341
4.7516,25.0,6.08567845170175,1.0963517017517017,1378.0,2.724891229841805,34.21,-117.42,2.195
6.2764,32.0,6.16502376991576,1.0581375390581376,722.0,3.082539058137539,34.03,-118.04,5.00001
4.6104,52.0,5.80372428789755,1.039171636387615,1063.0,4.24287897554824,37.8,-121.24,2.608
1.4581,23.0,4.9791470588235,1.0986710238053,1053.0,3.8868374068374067,39.07,-122.04,1.917
3.6303,36.0,5.4,1.05,686.0,2.46474864140566,34.05,-117.25,3.348
3.9073,36.0,4.898402866171935,1.029553313331333,961.0,3.98402866171935,33.76,-116.96,1.125
1.5278,35.0,4.43571812207723,0.9483370588235,842.0,2.69018737673947,33.84,-118.14,1.813
1.1829,14.0,4.35490829609375,1.0906252433574033,489.0,3.8393033574033,33.82,-118.16,1.424
3.9583,31.0,5.922774098124528,1.0,1461.0,2.866172057172057,34.01,-118.43,3.0
3.7306,29.0,5.843252777771977,0.99395959595959,1015.0,2.95544554455444,34.11,-117.29,1.289
4.0154,52.0,5.08333333333333,1.0125,1082.0,2.5,37.94,-120.9,2.181
5.8571,28.0,5.25286940986788,0.944339923160159,1698.0,2.96172401590159,33.78,-118.23,5.00001
2.5,33.0,4.3,1.0805,2133.0,2.56,36.75,-118.19,0.831
3.9188,43.0,6.07363846153846,1.038461538461538,673.0,3.0736384615384615,37.65,-117.95,2.598
5.908,29.0,6.64987700877058,1.0763855705882361,1333.0,2.587420338237701,34.02,-117.08,5.00001
2.9,34.0,4.5342786204723,1.05294530356717,742.0,2.79402624886699,37.96,-117.09,1.373
4.3167,18.0,4.610510510510511,1.05482548254826,547.0,2.847334825482548,33.99,-118.18,2.75
2.4842,37.0,6.8133333333333,1.003030303030303,567.0,2.36,37.72,-122.12,0.838
3.0359,19.0,4.5333333333333,0.982825,898.0,1.933333333333,33.77,-118.4,2.368
1.5054,20.0,3.55,1.05,1291.0,2.869,34.04,-117.99,0.856
3.5222,24.0,6.6394488581656,1.05221848805544,895.0,3.05221848805544,33.89,-117.89,1.795
3.6308,30.0,4.936963859451376,0.944987750756949,683.0,2.948273967507569,33.75,-122.28,2.154
1.8125,20.0,4.33,1.06,3169.0,2.4,37.77,-122.03,0.852
1.9306,35.0,3.16389836389836,1.0769076907690769,762.0,2.864508428571429,34.18,-118.38,1.663
4.6378,40.0,4.58359842874925,1.0427894736842105,727.0,2.58359842874925,37.7,-117.98,2.368
2.6881,25.0,5.93210526315789,1.087692307692307,1285.0,2.93210526315789,33.89,-117.99,2.572
1.3562,19.0,3.78332709668023,1.09677577116978,865.0,3.0793870847085,34.06,-117.28,0.964
1.8523,18.0,4.733333333333333,1.1377777777777778,1277.0,2.8333333333333,34.13,-122.29,1.705
4.0517,11.0,5.988888888888889,1.064389615389615,1246.0,2.813181318131813,33.99,-117.07,3.068
1.6593,33.0,5.66430990786913,1.13609908136099,635.0,3.58223569136099,33.79,-118.29,0.978
4.5,24.0,6.88888888888889,1.0,662.0,2.0,34.05,-118.31,1.665
4.2958,36.0,3.28238095249833,0.99238095249833,789.0,3.6100483696504835,34.14,-119.23,1.765
4.1479,36.0,3.25,1.0,1431.0,2.95,38.71,-121.32,0.75
6.1675,4.0,6.23232323232323,1.0848484848484847,1170.0,2.76666666667,37.87,-122.02,2.297
0.9,35.0,3.918348414183484,1.038172947372238,774.0,2.769756789587516,34.1,-119.9,0.741
4.5,52.0,6.49255414265516,1.04991638481182,1187.0,2.939249514265517,32.78,-117.88,2.729
5.1167,14.0,4.5,1.03,1347.0,2.5,33.77,-118.26,2.804
5.3698,52.0,4.9247859751437,1.25886095247859,3228.0,3.31961859751437,37.74,-118.37,1.471
1.4167,31.0,4.0,1.078240976923077,1394.0,1.813782608695652,34.07,-118.07,2.402
3.5458,40.0,5.726,1.0,1241.0,2.948,33.93,-122.31,2.304
3.0286,31.0,6.88254900692549,1.037181547181547,1428.0,1.936032129093903,37.92,-122.07,1.6
2.8163,37.0,5.72466666666667,1.0,1582.0,2.641666666666667,34.02,-118.37,1.396
5.1204,16.0,6.585928571428572,1.0178571428571428,861.0,2.717041918679866,37.78,-122.12,3.227
4.3125,19.0,6.967676767676768,1.1563146314631463,691.0,3.84848484848445,37.8,-121.28,2.449
3.9125,40.0,4.88590952081816,1.0994033171576,1176.0,2.6388859095208,34.19,-117.85,4.854
3.7156,52.0,5.73823782608695,1.0,598.0,2.946153823782609,34.08,-117.93,1.446
1.7543,24.0,3.637154023669637,1.058382857142857,1339.0,3.717884812340182,34.14,-118.3,1.614
2.6167,25.0,5.56782631578947,1.1777777777777778,1054.0,2.0663157894761,33.8,-117.34,0.94
3.5,26.0,4.769230769230769,1.1328282828282827,590.0,2.9272727272727272,38.56,-121.98,2.232
5.6829,36.0,4.3909064539085,1.0155555555555555,2471.0,2.7767178827678,38.29,-121.87,2.23
5.7194,52.0,4.80959908793786,1.04260189378626,1048.0,4.8245913885549,34.03,-117.92,2.161
4.6278,38.0,6.486748674867487,1.0764285714285713,483.0,2.66007850680077,34.04,-117.97,2.726
3.2631,26.0,3.13889847661051,1.09678949079847,771.0,2.839551043105263,34.07,-118.06,3.551
3.5167,46.0,4.253824273824273,1.0130882427382852,852.0,2.8824273824273825,34.13,-118.12,1.983
1.7196,29.0,4.0,1.0,781.0,2.7389533003988,33.96,-118.27,0.81
4.7,36.0,5.63797857142857,1.095714285714286,1874.0,2.76470588235294,33.84,-117.33,1.458
