MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
5.0385,44.0,6.431791791791792,1.073173173173173,787.0,4.39365868365868,40.48,-116.14,1.357
5.5223,24.0,6.393939393939394,1.0174017401740174,762.0,4.564964964964965,40.5,-116.33,0.882
5.064,19.0,6.566903714177967,1.3369475036074336,751.0,4.235855368043454,40.97,-116.85,2.3
5.0292,19.0,6.371466666666667,1.01666666666665,2750.0,4.5,39.42,-116.86,1.528
2.908,32.0,6.539796690397966,1.0274417504417503,571.0,4.804417504417504,39.18,-122.53,0.586
5.5167,32.0,6.141743296737433,1.073157894736847,1613.0,4.26552358523585,39.42,-116.03,2.475
5.5945,19.0,6.51281497669767,1.0231750474504744,1694.0,4.4317504745044,40.42,-116.27,5.00001
6.0428,32.0,7.382914382914383,1.0721721721721722,721.0,4.585858585858586,33.97,-121.98,2.184
5.5,19.0,6.674314783302966,1.07010101010101,797.0,4.539263698392636,39.19,-116.4,2.292
5.0,19.0,6.52473879672962,1.016933443603169,526.0,4.99366898584317,40.91,-116.39,1.191
5.6441,24.0,6.673814673814684,1.0733746921756173,732.0,4.0803928083159,40.91,-116.3,1.1
5.9777,19.0,6.176749386749386,1.0774335074335075,1615.0,4.836440836440836,39.69,-123.43,1.978
5.5083,19.0,6.391478217391478,1.0770933709337094,1104.0,3.5880265880265885,39.65,-122.03,1.578
5.2064,24.0,6.787878787878792,1.0101010101010102,762.0,4.55656565656565,40.67,-116.27,3.432
5.0,42.0,6.517171717171717,1.071010101010101,2601.0,4.585517171717171,40.67,-116.79,3.089
6.9292,32.0,7.738787878787879,1.0757575757575757,697.0,4.373737373737374,40.91,-116.03,5.00001
5.0297,19.0,6.670103849384939,1.01931707701077,790.0,4.985540228654436,40.67,-116.21,0.41
5.5,19.0,6.566350672233174,1.125339810133981,617.0,4.43174042174042,40.95,-116.39,2.298
5.0285,44.0,6.292929292929293,1.015050505050505,594.0,4.644444444444445,33.93,-116.09,1.996
5.5,19.0,6.73979662157849,1.0761243398743399,1200.0,4.556463637963637,39.69,-123.43,0.594
5.6472,24.0,6.73837393939394,1.0117445033745034,726.0,4.23586586361742,40.69,-116.33,1.183
5.0385,32.0,6.174979497949795,1.0281749794953374,517.0,3.43648022865696,34.18,-116.09,2.474
5.0531,19.0,6.469294329617174,1.0339301013393014,675.0,4.915231743295232,38.46,-116.33,1.188
6.5,24.0,7.1284903142941,1.0717690717690718,771.0,4.581769071769,39.05,-117.85,0.962
5.5083,32.0,6.738781438781439,1.0239393939393446,690.0,4.585858585858586,39.65,-116.43,3.606
5.0583,44.0,7.036666666666677,1.0733217217217217,660.0,4.027982398239823,39.44,-123.43,2.103
6.0292,42.0,6.73960056954972,1.0101010101010102,2101.0,4.363636363636363,40.97,-116.4,5.00001
5.8217,42.0,6.714141414141414,1.0133690133690134,776.0,4.262626262626263,39.05,-116.21,1.563
5.5204,42.0,6.492100875729171,1.020476945098125,788.0,4.36403640364036,39.67,-116.3,1.102
6.5,44.0,7.79371449392637,1.0157170733986918,762.0,4.80392637551703,40.67,-116.88,3.411
6.5,24.0,6.293937793837793,1.079810156931708,688.0,4.171818181818182,40.65,-116.27,5.00001
5.9631,42.0,6.791466216084314,1.073125646174733,1626.0,4.44864099186426,40.69,-116.23,0.833
5.9128,51.0,6.492949294929493,1.1701560156015602,2180.0,4.37992337992337,40.56,-116.43,1.772
5.2831,24.0,6.524849392917171,1.0156503369448218,697.0,4.689917181818182,39.42,-116.98,1.655
5.9167,32.0,6.7210081437431715,1.0101010101010102,1687.0,4.026962696269626,40.91,-117.27,1.649
5.9583,42.0,6.67497824979622,1.0275769317077756,787.0,4.652365236523665,40.97,-123.11,1.036
5.5,19.0,6.292939358140302,1.079311764505717,776.0,4.371818809964503,39.42,-116.21,1.76
5.9,32.0,6.524939585142972,1.073103307692306,1697.0,4.44581796181818,39.46,-116.88,4.42
6.0565,32.0,7.580743206673982,1.0144821034489857,2679.0,4.8050372364372365,40.65,-116.88,5.00001
5.9388,19.0,6.791779177917792,1.073173173173173,562.0,4.18181818181818,40.56,-116.33,1.873
5.908,19.0,6.701965949667843,1.0732463344334433,626.0,4.64,40.62,-116.47,2.808
5.1754,32.0,6.717671438394941,1.077401509810117,676.0,4.431840235098,34.04,-118.39,1.303
5.0349,19.0,6.701514296717508,1.125334506944983,701.0,4.37175064809836,39.5,-116.4,1.305
5.0687,24.0,7.5666666666667,1.0117011701170118,797.0,4.26262626262626,40.5,-116.21,1.46
6.4317,42.0,6.796717171717172,1.0107563333333334,676.0,4.18643750655065,40.62,-116.39,0.44
5.0568,32.0,6.493929376766972,1.0169179857450548,571.0,4.442396376521042,39.65,-123.3,2.684
5.9286,24.0,6.1429494949494945,1.032169011690117,676.0,4.864094094094043,39.62,-116.9,1.466
5.0,32.0,7.794949494949495,1.0117441744174418,775.0,4.586868686868687,40.56,-123.03,3.78
5.0,19.0,6.738188188188189,1.011081081081081,676.0,4.392637966436967,39.05,-123.23,1.752
6.5,32.0,6.178076617807662,1.0205085717076616,621.0,4.64373737373737,39.62,-116.33,1.266
5.6454,32.0,6.76666666667,1.016666666666666,671.0,4.5,40.65,-123.27,1.696
5.0204,19.0,6.671729101431592,1.019350983145774,626.0,4.646864686441899,40.69,-122.14,1.951
5.5,24.0,6.391738173817382,1.0769775697756978,697.0,4.648664866486647,39.19,-116.33,1.382
5.4565,24.0,6.319439792950466,1.0728057170728058,426.0,4.9695843188326,39.91,-123.09,3.462
5.9391,44.0,6.14173917391741,1.0101010101010102,726.0,4.43174039174039,39.95,-116.3,1.567
5.5192,19.0,6.314029600537843,1.071015044011015,679.0,4.80369826173783,40.48,-123.21,1.201
6.0385,32.0,6.760869566291717,1.0770150575057507,1662.0,4.6318367649842,39.5,-116.58,1.594
5.5668,32.0,6.72006737667921,1.0150334457344983,2880.0,4.239899504058626,39.67,-116.85,1.364
6.9,19.0,7.14666666666667,1.045666666665,615.0,4.23333333333333,40.19,-116.21,3.6
6.0,42.0,7.739101783231703,1.079350693405617,617.0,4.31465863491858,40.67,-116.9,2.808
6.2831,24.0,7.56621739797843,1.0205033503350334,797.0,4.551744965017449,40.56,-129.18,5.00001
6.0499,19.0,6.70103041372972,1.0169700319770933,690.0,4.125,39.67,-121.23,4.833
5.5,44.0,6.392170191701917,1.0717015050473346,779.0,4.18556418556418,39.04,-116.14,1.089
2.0286,44.0,6.376743173917392,1.0340150969445616,788.0,4.55236843173918,39.67,-116.43,1.964
5.6896,42.0,6.56666666666667,1.0731951951951955,1679.0,4.55239980998099,40.62,-116.23,1.008
5.5194,19.0,7.738383838383839,1.0101010101010102,1680.0,4.55265526552655,39.48,-116.09,3.516
6.9,19.0,6.390196767296729,1.0198765315789475,713.0,4.55393913053913,39.97,-116.71,3.5
5.0817,19.0,6.74949494949495,1.07989898989899,688.0,4.5,39.19,-123.23,1.301
5.9,24.0,6.297941779417791,1.0733333333333333,771.0,4.68963968963968,40.48,-116.39,1.625
5.5,24.0,6.567786778677869,1.0237474747474749,571.0,4.5125125125125125,39.97,-116.9,2.211
6.5607,19.0,6.3967173967173965,1.0717396717396717,2676.0,4.65173967173968,40.97,-116.23,5.00001
5.5,32.0,6.621739297910154,1.013398310324634,1004.0,4.98236844186498,39.56,-116.23,1.157
