age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
2.0,Local-gov,242619.0,Bachelors,13.0,Widowed,Protective-serv,Other-relative,White,Female,4.0,0.0,2.0,United-States,>50K
3.0,Local-gov,117210.0,Doctorate,16.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,3.0,0.0,2.0,United-States,<=50K
0.0,Local-gov,119793.0,9th,5.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,1.0,2.0,United-States,<=50K
0.0,Local-gov,182676.0,Bachelors,13.0,Never-married,Protective-serv,Other-relative,White,Female,0.0,2.0,3.0,United-States,<=50K
2.0,Federal-gov,338816.0,Doctorate,16.0,Married-civ-spouse,Tech-support,Husband,White,Male,4.0,0.0,2.0,United-States,>50K
4.0,Federal-gov,242521.0,Bachelors,13.0,Widowed,Tech-support,Other-relative,White,Female,0.0,2.0,2.0,United-States,>50K
0.0,Private,164901.0,Some-college,10.0,Married-civ-spouse,Protective-serv,Husband,White,Male,3.0,0.0,2.0,United-States,>50K
3.0,Local-gov,218015.0,Bachelors,13.0,Married-civ-spouse,Protective-serv,Husband,White,Male,4.0,0.0,2.0,United-States,>50K
0.0,Local-gov,164901.0,11th,7.0,Widowed,Other-service,Other-relative,White,Female,0.0,0.0,1.0,United-States,<=50K
3.0,Local-gov,110861.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2.0,4.0,United-States,<=50K
0.0,Federal-gov,182771.0,Bachelors,13.0,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0.0,2.0,1.0,United-States,<=50K
0.0,Local-gov,242713.0,10th,6.0,Separated,Other-service,Other-relative,White,Female,0.0,0.0,2.0,United-States,<=50K
2.0,Local-gov,184784.0,Bachelors,13.0,Widowed,Adm-clerical,Other-relative,Black,Female,0.0,2.0,2.0,United-States,<=50K
4.0,Local-gov,169015.0,11th,7.0,Widowed,Craft-repair,Unmarried,White,Female,4.0,0.0,2.0,United-States,>50K
0.0,Local-gov,180195.0,11th,7.0,Never-married,Protective-serv,Other-relative,White,Female,4.0,0.0,3.0,United-States,>50K
4.0,Federal-gov,119793.0,11th,7.0,Widowed,Adm-clerical,Other-relative,White,Female,0.0,2.0,2.0,United-States,>50K
0.0,Federal-gov,114937.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,3.0,0.0,2.0,United-States,>50K
0.0,Local-gov,325732.0,11th,7.0,Married-civ-spouse,Craft-repair,Other-relative,White,Female,3.0,0.0,2.0,United-States,>50K
3.0,Local-gov,165215.0,Doctorate,16.0,Widowed,Prof-specialty,Not-in-family,White,Female,3.0,0.0,2.0,United-States,>50K
0.0,Local-gov,114746.0,Bachelors,13.0,Never-married,Adm-clerical,Other-relative,White,Female,0.0,2.0,2.0,United-States,<=50K
4.0,Local-gov,185556.0,10th,6.0,Widowed,Other-service,Other-relative,White,Female,4.0,0.0,1.0,United-States,<=50K
