age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
1.0,Private,82497.0,Some-college,10.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
3.0,Self-emp-not-inc,256861.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,2.0,United-States,<=50K
2.0,Private,54595.0,HS-grad,9.0,Separated,Adm-clerical,Own-child,Black,Female,0.0,0.0,2.0,United-States,<=50K
2.0,Self-emp-not-inc,199083.0,Assoc-voc,11.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,3.0,United-States,>50K
3.0,State-gov,56841.0,Some-college,10.0,Married-civ-spouse,Protective-serv,Husband,White,Male,1.0,0.0,2.0,United-States,>50K
0.0,Private,212800.0,11th,7.0,Never-married,Machine-op-inspct,Own-child,White,Female,0.0,0.0,2.0,United-States,<=50K
1.0,Private,207969.0,HS-grad,9.0,Never-married,Other-service,Other-relative,White,Female,0.0,0.0,2.0,United-States,<=50K
1.0,Self-emp-not-inc,125892.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,3.0,United-States,<=50K
1.0,Private,51461.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,4.0,United-States,<=50K
3.0,Local-gov,125892.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,3.0,United-States,<=50K
2.0,Federal-gov,268831.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
0.0,Private,272591.0,11th,7.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,3.0,United-States,<=50K
0.0,,143062.0,Some-college,10.0,Never-married,,Not-in-family,White,Male,0.0,0.0,0.0,United-States,<=50K
0.0,,171886.0,7th-8th,4.0,Never-married,,Own-child,White,Male,0.0,0.0,2.0,United-States,<=50K
0.0,Private,87157.0,12th,8.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,0.0,United-States,<=50K
1.0,Private,263215.0,Bachelors,13.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,3.0,United-States,<=50K
2.0,Local-gov,166863.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
2.0,Private,102828.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
0.0,Private,108670.0,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
0.0,Private,212783.0,11th,7.0,Widowed,Other-service,Unmarried,Black,Female,0.0,0.0,0.0,United-States,<=50K
1.0,Private,159046.0,9th,5.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
1.0,Private,330132.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,3.0,United-States,<=50K
1.0,Private,94041.0,Assoc-voc,11.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,2.0,United-States,<=50K
4.0,Self-emp-not-inc,271328.0,7th-8th,4.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
